COMPANY NAME,KOTAK MAHINDRA BANK LTD,,,,,,,,,
LATEST VERSION, 	2.10 ,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION, 	2.10 ,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares, 	190.89 ,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1529.4,,,,,,,,,
Market Capitalization,291949.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Sales,4366.56,4601.16,5973.11,8470.42,10837.87,11985.9,13318.89,20401.64,22324.21,25131.08
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,92.74,100.56,124.25,147.96,174.59,202.76,253.21,365.52,425.53,484.15
Employee Cost,1192.51,1260.95,1522.35,1601.54,1773.5,1915.12,2375.46,3854.05,3982.31,4380.9
Selling and admin,1207.37,1043.83,1145.71,1207.3,1318.27,3318.68,3644.58,2461.21,2642.34,3284.66
Other Expenses,2400.7,3825.04,3202.65,2693.81,3336.37,1616.44,3445.07,4860.56,7781.93,8655.09
Other Income,3661.19,5447.75,5089.72,4542.91,5112.41,5282.39,8152.2,7630.73,11659.56,13682.23
Depreciation,125.93,142.92,152.35,164.33,179.03,207.86,236.89,344.51,362.21,383.43
Interest,1992.39,1772.86,2668.24,4541.96,6024.49,6312.12,6966.1,11122.97,11457.51,12466.85
Profit before tax,1016.11,1902.75,2247.28,2656.43,3144.01,3695.32,4549.77,5023.54,7331.94,9158.23
Tax,363.44,575.39,678.05,805.9,939.8,1183.78,1484.69,1592.42,2382.85,3011.09
Net profit,652.39,1307,1566.74,1832.24,2188.46,2464.99,3045.45,3458.85,4940.43,6200.97
Dividend Amount,25.93,29.59,36.84,44.44,52.26,61.63,69.51,91.72,110.45,133.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19
Sales,5666.07,5654.76,5935.15,6072.85,6390.71,6732.37,6903.37,7311.12,7744.58,7975.69
Expenses,2796.54,5030.93,3580.04,3884.19,4391.15,4859.78,3980.17,4390.62,4569.58,6740.42
