COMPANY NAME,3I INFOTECH LTD,,,,,,,,,
LATEST VERSION, 	2.10 ,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION, 	2.10 ,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares, 	161.67 ,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3.65,,,,,,,,,
Market Capitalization,590.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Sales,527.24,519.99,550.25,514.16,365.47,326.5,400.72,345.09,279.07,237.51
Raw Material Cost,,,,,,,,49.93,,
Change in Inventory,,,,,,,,,,
Power and Fuel,10.61,11.34,12.2,11.85,9.7,8.59,7.82,6.24,6.13,5.95
Other Mfr. Exp,109.05,116.31,2.27,6.85,4.2,2.72,3.92,9.83,39.88,24.57
Employee Cost,257.82,284.87,92.59,235.72,211.95,211.63,217.68,120.82,86.16,77.95
Selling and admin,111.97,122.56,148.52,132.1,51.98,54.89,50.94,32.63,20.68,28.05
Other Expenses,82.27,54.44,26.06,38.23,9.07,7.51,49.53,1072.03,6.36,154.95
Other Income,344.54,118.98,24.38,-60.17,183.68,41.62,-687.44,872.67,65.8,57.21
Depreciation,47.99,40.5,51.75,90.01,224.64,236.33,222.88,210.62,7.31,7.16
Interest,64.71,105.06,133.38,206.14,284.1,300.22,194.69,163.66,87.26,82.8
Profit before tax,187.36,-96.11,107.86,-266.91,-246.49,-453.77,-1034.18,-448,91.09,-86.71
Tax,2.79,3.5,-11.53,59.24,8.87,-13.55,23.57,91.7,-1.17,
Net profit,184.57,-99.61,119.39,-326.15,-255.36,-440.22,-1057.75,-539.7,92.26,-86.71
Dividend Amount,19.61,25.31,28.8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19
Sales,68.58,66.99,55.38,57.72,58.12,66.29,58.7,75.67,74.27,75.28
Expenses,31.7,57.45,35.26,188.73,54.4,47.15,55.43,39.83,83.01,48.69
Other Income,36.17,9.86,11.37,15.18,8.25,21.68,49.15,55.2,131.56,7.02
Depreciation,1.76,1.71,1.78,2.05,1.7,1.63,1.66,1.68,1.7,1.78
