ADANI GREEN ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 9.91 , 98.44 , 318.13 , 977.84 ," 2,940.42 "
Expenses, -   , -   , -   , -   , -   , -   , -   , 0.14 , 30.07 , 112.07 , 363.36 , 977.84 ," 2,940.42 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , (0.14), (20.16), (13.63), (45.23), -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 7.84 , 57.47 , 302.65 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 0.01 , 10.15 , 9.30 , 8.34 , 8.34 , 8.34 
Interest, -   , -   , -   , -   , -   , -   , -   , 0.75 , 26.83 , 69.06 , 288.24 , 288.24 , 288.24 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , (0.89), (49.30), (34.53), (39.16), (296.58), (296.58)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , (5.91), (4.18),0%,0%
Net profit, -   , -   , -   , -   , -   , -   , -   , (0.89), (49.30), (28.61), (34.99), (296.58), (296.58)
EPS, -   , -   , -   , -   , -   , -   , -   , (0.06), (0.39), (0.21), (0.22), (1.90), (1.90)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43.15 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,893.34%,893.34%,893.34%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
