DHAMPUR SUGAR MILLS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 52.78 , 52.78 , 53.98 , 53.98 , 53.98 , 57.28 , 58.78 , 60.28 , 66.45 , 66.45 
Reserves, 384.85 , 437.01 , 446.11 , 422.52 , 403.84 , 363.99 , 352.10 , 647.05 , 844.63 , 949.66 
Borrowings, 929.01 , 732.14 , 894.81 , 992.33 ," 1,439.12 "," 1,335.34 "," 1,608.38 "," 1,655.79 "," 1,914.53 "," 1,446.68 "
Other Liabilities, 244.84 , 562.28 , 618.04 , 669.08 , 865.29 , 973.74 ," 1,129.29 ", 974.34 , 696.01 , 843.66 
Total," 1,611.48 "," 1,784.21 "," 2,012.94 "," 2,137.91 "," 2,762.23 "," 2,730.35 "," 3,148.55 "," 3,337.46 "," 3,521.62 "," 3,306.45 "
,,,,,,,,,,
Net Block, 979.58 , 958.74 , 976.30 , 984.98 ," 1,073.01 "," 1,085.95 "," 1,251.74 "," 1,493.79 "," 1,492.00 "," 1,592.13 "
Capital Work in Progress, 24.40 , 43.58 , 17.74 , 34.83 , 19.42 , 207.03 , 17.74 , 28.17 , 27.12 , 24.13 
Investments, 27.78 , 27.78 , 45.46 , 8.99 , 11.58 , 11.55 , 11.58 , 11.60 , 3.33 , 7.12 
Other Assets, 579.72 , 754.11 , 973.44 ," 1,109.11 "," 1,658.22 "," 1,425.82 "," 1,867.49 "," 1,803.90 "," 1,999.17 "," 1,683.07 "
Total," 1,611.48 "," 1,784.21 "," 2,012.94 "," 2,137.91 "," 2,762.23 "," 2,730.35 "," 3,148.55 "," 3,337.46 "," 3,521.62 "," 3,306.45 "
,,,,,,,,,,
Working Capital, 334.88 , 191.83 , 355.40 , 440.03 , 792.93 , 452.08 , 738.20 , 829.56 ," 1,303.16 ", 839.41 
Debtors, 79.66 , 89.30 , 85.22 , 216.27 , 144.06 , 110.25 , 221.69 , 256.26 , 224.98 , 242.88 
Inventory, 280.93 , 419.58 , 666.85 , 710.23 ," 1,311.26 "," 1,224.34 "," 1,252.26 "," 1,302.03 "," 1,476.86 "," 1,145.57 "
,,,,,,,,,,
Debtor Days, 43.54 , 34.84 , 13.36 , 51.38 , 35.50 , 22.09 , 45.56 , 42.84 , 32.41 , 27.04 
Inventory Turnover, 2.38 , 2.23 , 3.49 , 2.16 , 1.13 , 1.49 , 1.42 , 1.68 , 1.72 , 2.86 
,,,,,,,,,,
Return on Equity,1%,11%,2%,6%,5%,-18%,-3%,5%,26%,15%
Return on Capital Emp,,11%,11%,10%,9%,4%,6%,9%,19%,13%
,,,,,,,,,,
