IFGL REFRACTORIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 46.53 , 371.86 , 443.29 , 479.13 , 528.44 , 535.33 
Expenses, -   , -   , -   , -   , -   , -   , -   , 35.09 , 320.64 , 368.67 , 407.36 , 444.25 , 455.14 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 11.44 , 51.22 , 74.62 , 71.77 , 84.19 , 80.19 
Other Income, -   , -   , -   , -   , -   , -   , -   , 0.04 , 2.85 , 1.92 , 3.76 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 3.31 , 37.01 , 37.97 , 38.87 , 38.87 , 38.87 
Interest, -   , -   , -   , -   , -   , -   , -   , 1.61 , 4.49 , 4.62 , 4.11 , 4.11 , 4.11 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , 6.55 , 12.57 , 33.94 , 32.55 , 41.21 , 37.21 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , (5.60), 11.36 , 6.58 ,20%,20%
Net profit, -   , -   , -   , -   , -   , -   , -   , 6.55 , 18.16 , 22.58 , 25.97 , 32.88 , 29.69 
EPS, -   , -   , -   , -   , -   , -   , -   , 30.32 , 62.28 , 6.27 , 7.21 , 9.12 , 8.24 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 41.19 , 31.02 , 36.10 , 31.02 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 258.05 , 223.55 , 329.38 , 255.54 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.19%,31.93%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.59%,13.77%,16.83%,14.98%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,19.21%,19.21%,19.21%
,,,,,,OPM,15.93%,15.93%,15.93%,15.93%,14.98%,15.93%,14.98%
,,,,,,Price to Earning, 36.10 , 36.10 , 36.10 , 36.10 , 31.02 , 36.10 , 31.02 
