ALEMBIC PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 11.00 , 37.70 , 37.70 , 37.70 , 37.70 , 37.70 , 37.70 , 37.70 
Reserves, -   , -   , 238.51 , 323.16 , 422.06 , 591.99 , 795.86 ," 1,493.04 "," 1,829.62 "," 2,156.93 "
Borrowings, -   , -   , 327.91 , 352.72 , 186.80 , 109.40 , 193.61 , -   , 8.28 , 621.53 
Other Liabilities, -   , -   , 262.81 , 296.46 , 368.69 , 439.68 , 500.24 , 674.69 , 681.98 , 935.59 
Total, -   , -   , 840.23 ," 1,010.04 "," 1,015.25 "," 1,178.77 "," 1,527.41 "," 2,205.43 "," 2,557.58 "," 3,751.75 "
,,,,,,,,,,
Net Block, -   , -   , 271.99 , 267.82 , 344.22 , 396.96 , 488.68 , 697.25 , 799.01 , 918.30 
Capital Work in Progress, -   , -   , 26.50 , 58.24 , 32.26 , 20.67 , 83.14 , 92.34 , 347.75 , 740.64 
Investments, -   , -   , 3.35 , 3.35 , 3.35 , 33.33 , 33.33 , 37.46 , 103.04 , 298.89 
Other Assets, -   , -   , 538.39 , 680.63 , 635.42 , 727.81 , 922.26 ," 1,378.38 "," 1,307.78 "," 1,793.92 "
Total, -   , -   , 840.23 ," 1,010.04 "," 1,015.25 "," 1,178.77 "," 1,527.41 "," 2,205.43 "," 2,557.58 "," 3,751.75 "
,,,,,,,,,,
Working Capital, -   , -   , 275.58 , 384.17 , 266.73 , 288.13 , 422.02 , 703.69 , 625.80 , 858.33 
Debtors, -   , -   , 201.97 , 186.83 , 232.38 , 260.56 , 337.94 , 371.50 , 467.41 , 621.66 
Inventory, -   , -   , 219.23 , 258.74 , 266.83 , 310.78 , 382.48 , 533.72 , 574.62 , 669.93 
,,,,,,,,,,
Debtor Days, -   , -   , 63.28 , 49.62 , 56.82 , 51.58 , 61.09 , 45.06 , 57.14 , 77.04 
Inventory Turnover, -   , -   , 5.31 , 5.31 , 5.59 , 5.93 , 5.28 , 5.64 , 5.20 , 4.40 
,,,,,,,,,,
Return on Equity,,,33%,33%,34%,38%,34%,46%,23%,19%
Return on Capital Emp,,,45%,29%,33%,47%,41%,72%,32%,23%
,,,,,,,,,,
