KAYA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 143.34 , 153.42 , 174.08 , 185.32 , 194.04 , 201.20 , 209.82 , 211.15 , 210.19 
Expenses, -   , -   , -   , -   , 147.98 , 110.31 , 166.39 , 194.17 , 211.61 , 209.25 , 208.96 , 210.28 , 210.19 
Operating Profit, -   , -   , -   , -   , (4.64), 43.11 , 7.69 , (8.85), (17.57), (8.05), 0.86 , 0.87 , -   
Other Income, -   , -   , -   , -   , (12.61), 3.94 , 16.01 , 11.68 , 11.89 , 9.58 , 4.91 , -   , -   
Depreciation, -   , -   , -   , -   , 10.27 , 4.92 , 6.39 , 9.70 , 10.66 , 13.14 , 15.28 , 15.28 , 15.28 
Interest, -   , -   , -   , -   , 2.23 , 2.60 , 1.84 , 1.76 , 1.91 , 2.11 , -   , -   , -   
Profit before tax, -   , -   , -   , -   , (29.75), 39.52 , 15.47 , (8.63), (18.24), (13.71), (9.51), (14.41), (15.28)
Tax, -   , -   , -   , -   , -   , 5.55 , (0.02), -   , (2.54), (0.38), (5.55),0%,0%
Net profit, -   , -   , -   , -   , (29.75), 33.96 , 15.49 , (8.62), (15.69), (13.34), (3.96), (14.41), (15.28)
EPS, -   , -   , -   , -   , (16.67), 19.03 , -   , (6.68), (12.05), (10.24), (3.03), (11.03), (11.70)
Price to earning,  ,  ,  ,  ,  ,  ,  , (131.76), (68.99), (104.75), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , 880.66 , 831.23 ," 1,072.31 ", 622.75 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,28.10%,4.42%,0.00%,0.00%,0.00%,0.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,7.02%,4.94%,4.28%,4.94%,4.28%
,,,,,,OPM,4.83%,4.83%,5.59%,0.00%,0.41%,0.41%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
