CHALET HOTELS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 582.46 , 737.35 , 893.82 , 269.87 ," 1,083.49 ", 951.09 
Expenses, -   , -   , -   , -   , -   , -   , -   , 441.36 , 500.38 , 578.36 , 172.12 , 691.04 , 653.11 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 141.10 , 236.97 , 315.46 , 97.75 , 392.45 , 297.98 
Other Income, -   , -   , -   , -   , -   , -   , -   , 6.80 , 187.18 , 19.89 , 5.66 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 98.81 , 126.98 , 111.63 , 29.54 , 29.54 , 29.54 
Interest, -   , -   , -   , -   , -   , -   , -   , 215.73 , 215.36 , 209.26 , 56.00 , 56.00 , 56.00 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , (166.63), 81.82 , 14.46 , 17.87 , 306.91 , 212.44 
Tax, -   , -   , -   , -   , -   , -   , -   , (53.52), (48.32), (5.98), 3.94 ,22%,22%
Net profit, -   , -   , -   , -   , -   , -   , -   , (113.11), 130.14 , 20.44 , 13.93 , 239.25 , 165.60 
EPS, -   , -   , -   , -   , -   , -   , -   , (7.43), 8.55 , 1.19 , 0.68 , 11.67 , 8.08 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 500.20 , 500.20 , 500.20 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 339.85 ," 5,836.86 "," 4,040.08 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.22%,32.14%,35.29%,36.22%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,21.22%,21.22%,21.22%
,,,,,,OPM,31.33%,31.33%,31.33%,31.33%,36.22%,36.22%,31.33%
,,,,,,Price to Earning, 500.20 , 500.20 , 500.20 , 500.20 , 500.20 , 500.20 , 500.20 
