COUNTRY CONDOS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 1.62 , 7.76 , 7.76 , 7.76 , 7.76 , 7.76 , 7.76 , 7.76 , 7.76 , 7.76 
Reserves, 3.53 , 2.82 , 7.59 , 8.31 , 9.13 , 9.68 , 8.12 , 8.89 , 9.53 , 10.18 
Borrowings, 1.76 , 1.40 , 13.31 , 22.28 , 0.10 , 0.06 , 0.12 , 0.18 , 0.11 , 1.39 
Other Liabilities, 24.54 , 56.91 , 41.19 , 45.05 , 41.43 , 40.18 , 22.90 , 10.25 , 9.50 , 7.70 
Total, 31.45 , 68.89 , 69.85 , 83.40 , 58.42 , 57.68 , 38.90 , 27.08 , 26.90 , 27.03 
,,,,,,,,,,
Net Block, 5.69 , 7.63 , 7.64 , 10.76 , 10.90 , 11.05 , 5.33 , 5.26 , 5.05 , 5.09 
Capital Work in Progress, -   , -   , -   , 0.04 , 0.04 , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 25.76 , 61.26 , 62.21 , 72.60 , 47.48 , 46.63 , 33.57 , 21.82 , 21.85 , 21.94 
Total, 31.45 , 68.89 , 69.85 , 83.40 , 58.42 , 57.68 , 38.90 , 27.08 , 26.90 , 27.03 
,,,,,,,,,,
Working Capital, 1.22 , 4.35 , 21.02 , 27.55 , 6.05 , 6.45 , 10.67 , 11.57 , 12.35 , 14.24 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, 8.83 , 12.78 , 16.78 , 24.03 , 33.29 , 38.16 , 22.68 , 14.37 , 10.27 , 13.13 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, 0.11 , 0.09 , 0.21 , 0.19 , 0.20 , 0.21 , 1.45 , 3.15 , 2.64 , 1.81 
,,,,,,,,,,
Return on Equity,3%,2%,2%,4%,5%,3%,11%,5%,4%,4%
Return on Capital Emp,,4%,2%,3%,3%,5%,6%,8%,7%,6%
,,,,,,,,,,
