HONEYWELL AUTOMATION INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 8.84 , 8.84 , 8.84 , 8.84 , 8.84 , 8.84 , 8.84 , 8.84 , 8.84 , 8.84 
Reserves, 307.36 , 429.81 , 524.54 , 621.41 , 696.31 , 772.13 , 873.03 ," 1,013.17 "," 1,171.44 "," 1,409.84 "
Borrowings, 11.97 , 0.12 , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 306.76 , 304.81 , 391.40 , 496.27 , 496.94 , 550.41 , 602.95 , 742.74 , 773.86 ," 1,013.90 "
Total, 634.93 , 743.58 , 924.78 ," 1,126.52 "," 1,202.09 "," 1,331.38 "," 1,484.82 "," 1,764.75 "," 1,954.14 "," 2,432.58 "
,,,,,,,,,,
Net Block, 55.27 , 71.77 , 75.31 , 74.17 , 71.70 , 65.07 , 84.90 , 84.04 , 78.81 , 83.92 
Capital Work in Progress, 14.99 , 3.52 , 0.88 , 2.72 , 0.37 , 2.93 , 6.80 , 1.60 , 2.69 , 1.10 
Investments, -   , -   , -   , -   , -   , -   , 75.96 , 78.93 , 82.75 , 77.77 
Other Assets, 564.67 , 668.29 , 848.59 ," 1,049.63 "," 1,130.02 "," 1,263.38 "," 1,317.16 "," 1,600.18 "," 1,789.89 "," 2,269.79 "
Total, 634.93 , 743.58 , 924.78 ," 1,126.52 "," 1,202.09 "," 1,331.38 "," 1,484.82 "," 1,764.75 "," 1,954.14 "," 2,432.58 "
,,,,,,,,,,
Working Capital, 257.91 , 363.48 , 457.19 , 553.36 , 633.08 , 712.97 , 714.21 , 857.44 ," 1,016.03 "," 1,255.89 "
Debtors, 354.89 , 289.17 , 311.06 , 347.81 , 375.48 , 353.73 , 345.64 , 505.33 , 500.32 , 591.12 
Inventory, 74.46 , 80.55 , 179.87 , 318.75 , 103.67 , 110.15 , 123.57 , 100.64 , 96.91 , 79.77 
,,,,,,,,,,
Debtor Days, 129.36 , 89.86 , 83.81 , 78.70 , 82.52 , 75.64 , 52.49 , 84.31 , 75.77 , 80.21 
Inventory Turnover, 13.45 , 14.58 , 7.53 , 5.06 , 16.02 , 15.50 , 19.45 , 21.74 , 24.87 , 33.72 
,,,,,,,,,,
Return on Equity,26%,30%,20%,17%,12%,11%,13%,14%,14%,18%
Return on Capital Emp,,48%,29%,25%,18%,17%,21%,24%,28%,30%
,,,,,,,,,,
