LYPSA GEMS & JEWELLERY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 336.27 , 259.84 , 301.92 , 412.35 , 436.84 , 207.64 , 76.59 , 104.15 , 68.77 , 141.63 , 78.02 
Expenses, -   , -   , 336.41 , 256.59 , 293.81 , 404.45 , 423.37 , 200.59 , 72.53 , 103.79 , 67.28 , 137.44 , 76.41 
Operating Profit, -   , -   , (0.14), 3.25 , 8.11 , 7.90 , 13.47 , 7.05 , 4.06 , 0.36 , 1.49 , 4.18 , 1.61 
Other Income, -   , -   , 21.39 , 8.41 , (1.84), (0.34), (3.50), (1.64), 0.19 , 0.32 , 0.01 , -   , -   
Depreciation, -   , -   , 0.05 , 0.05 , 0.09 , 0.22 , 0.36 , 0.47 , 0.43 , 0.37 , 0.40 , 0.40 , 0.40 
Interest, -   , -   , 18.28 , 8.65 , 1.93 , 2.63 , 4.28 , 3.15 , 3.66 , 0.13 , 0.94 , 0.94 , 0.94 
Profit before tax, -   , -   , 2.92 , 2.97 , 4.26 , 4.71 , 5.33 , 1.78 , 0.17 , 0.18 , 0.16 , 2.84 , 0.27 
Tax, -   , -   , 0.97 , 0.87 , 1.44 , 1.57 , 1.79 , 0.59 , 0.04 , (0.01), (0.01),-6%,-6%
Net profit, -   , -   , 1.95 , 2.10 , 2.82 , 3.15 , 3.54 , 1.19 , 0.13 , 0.19 , 0.19 , 3.02 , 0.29 
EPS, -   , -   , 1.39 , 1.00 , 1.34 , 1.50 , 1.68 , 0.57 , 0.06 , 0.06 , 0.06 , 1.02 , 0.10 
Price to earning,  ,  ,  ,  , 47.36 , 51.74 , 27.56 , 117.66 , 794.59 , 345.68 , 94.68 , 338.15 , 94.68 
Price, -   , -   , -   , -   , 63.42 , 77.39 , 46.32 , 66.48 , 49.05 , 22.28 , 6.10 , 346.31 , 9.37 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,35.90%,33.33%,24.82%,22.22%,20.90%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,1.25%,2.69%,1.92%,3.08%,3.40%,5.30%,0.35%,2.17%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-15.42%,-19.17%,-37.99%,35.98%,35.98%,-37.99%
,,,,,,OPM,2.07%,2.46%,2.65%,2.95%,2.17%,2.95%,2.07%
,,,,,,Price to Earning, 211.32 , 211.32 , 238.65 , 338.15 , 94.68 , 338.15 , 94.68 
