HDFC ASSET MANAGEMENT COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   ," 1,490.13 "," 1,568.20 "," 1,867.00 "," 1,915.18 "," 2,222.73 "," 2,231.91 "
Expenses, -   , -   , -   , -   , -   , -   , -   , 775.04 , 776.15 , 793.30 , 709.23 , 823.12 ," 1,062.41 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 715.09 , 792.05 ," 1,073.70 "," 1,205.95 "," 1,399.61 "," 1,169.51 "
Other Income, -   , -   , -   , -   , -   , -   , -   , 4.22 , 19.71 , 0.25 , 181.60 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 11.06 , 11.96 , 11.44 , 12.85 , 12.85 , 12.85 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   , -   , 708.25 , 799.81 ," 1,062.52 "," 1,374.70 "," 1,386.76 "," 1,156.66 "
Tax, -   , -   , -   , -   , -   , -   , -   , 230.37 , 249.56 , 340.90 , 444.10 ,32%,32%
Net profit, -   , -   , -   , -   , -   , -   , -   , 477.88 , 550.25 , 721.62 , 930.60 , 938.76 , 783.00 
EPS, -   , -   , -   , -   , -   , -   , -   , 94.95 , 109.32 , 34.27 , 43.77 , 44.16 , 36.83 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 39.87 , 39.87 , 39.87 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,745.30 "," 1,760.61 "," 1,468.48 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.12%,42.08%,46.69%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,47.99%,50.51%,57.51%,62.97%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,19.05%,19.05%,19.05%
,,,,,,OPM,52.40%,52.40%,52.40%,52.40%,62.97%,62.97%,52.40%
,,,,,,Price to Earning, 39.87 , 39.87 , 39.87 , 39.87 , 39.87 , 39.87 , 39.87 
