FUTURE MARKET NETWORKS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 24.34 , 29.29 , 109.53 , 77.09 , 72.94 , 80.81 , 82.51 , 79.41 , 103.79 , 103.79 , 72.94 
Expenses, -   , -   , 23.93 , 31.14 , 103.01 , 78.69 , 62.89 , 57.76 , 70.47 , 60.77 , 65.75 , 65.75 , 63.67 
Operating Profit, -   , -   , 0.41 , (1.85), 6.52 , (1.60), 10.05 , 23.05 , 12.04 , 18.64 , 38.04 , 38.04 , 9.28 
Other Income, -   , -   , 0.45 , 44.62 , 26.59 , 4.98 , 12.90 , 18.81 , 32.57 , 34.96 , 18.49 , -   , -   
Depreciation, -   , -   , 0.21 , 0.22 , 16.75 , 17.51 , 27.04 , 26.83 , 26.14 , 24.86 , 25.05 , 25.05 , 25.05 
Interest, -   , -   , 0.01 , 43.78 , 56.31 , 51.70 , 49.20 , 46.07 , 42.00 , 23.27 , 19.57 , 19.57 , 19.57 
Profit before tax, -   , -   , 0.64 , (1.23), (39.96), (65.83), (53.30), (31.02), (23.53), 5.48 , 11.91 , (6.58), (35.34)
Tax, -   , -   , 0.29 , (0.04), (4.97), -   , -   , (66.97), 0.53 , 3.67 , 2.27 ,19%,19%
Net profit, -   , -   , 0.35 , (1.20), (34.99), (65.83), (53.30), 35.95 , (24.06), 1.80 , 9.65 , (5.33), (28.61)
EPS, -   , -   , 0.31 , (0.21), (6.26), (11.79), (9.54), 6.40 , (4.27), 0.32 , 1.71 , (0.95), (5.08)
Price to earning,  ,  , 173.92 , (136.70), (2.10), (0.88), (1.24), 3.81 , (18.21), 411.29 , 24.03 , 146.38 , 24.03 
Price, -   , -   , 54.49 , 29.37 , 13.14 , 10.32 , 11.80 , 24.40 , 77.83 , 131.51 , 41.20 , (138.49), (122.13)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,1.68%,0.00%,5.95%,0.00%,13.78%,28.52%,14.59%,23.47%,36.65%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,18.40%,-6.23%,2.87%,30.70%,30.70%,-6.23%
,,,,,,OPM,12.72%,13.22%,16.24%,22.14%,36.65%,36.65%,12.72%
,,,,,,Price to Earning, 153.26 , 146.38 , 146.38 , 146.38 , 24.03 , 146.38 , 24.03 
