LAKSHMI ENERGY & FOODS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.64 , 12.64 , 12.64 , 12.64 , 12.64 , 13.30 , 13.30 , 13.30 , 13.99 , 14.73 
Reserves, 474.31 , 558.44 , 692.61 , 700.68 , 706.58 , 711.49 , 377.01 , 283.85 , 288.13 , 583.86 
Borrowings, 420.84 , 524.76 , 836.78 , 935.75 , 905.95 , 860.62 , 951.18 ," 1,156.97 "," 1,207.83 "," 1,197.41 "
Other Liabilities, 153.97 , 141.77 , 148.74 , 248.98 , 280.20 , 487.53 , 165.77 , 96.48 , 80.80 , 51.09 
Total," 1,061.76 "," 1,237.61 "," 1,690.77 "," 1,898.05 "," 1,905.37 "," 2,072.94 "," 1,507.26 "," 1,550.60 "," 1,590.75 "," 1,847.09 "
,,,,,,,,,,
Net Block, 375.04 , 371.12 , 354.95 , 328.89 , 291.05 , 264.76 , 236.41 , 207.75 , 194.48 , 759.37 
Capital Work in Progress, 3.26 , -   , 2.81 , 16.99 , 30.61 , 6.12 , 7.97 , 13.97 , 15.09 , 22.46 
Investments, 60.10 , 60.10 , 60.70 , 60.85 , 60.85 , 60.85 , 60.85 , 60.84 , 61.10 , 61.10 
Other Assets, 623.36 , 806.39 ," 1,272.31 "," 1,491.32 "," 1,522.86 "," 1,741.21 "," 1,202.03 "," 1,268.04 "," 1,320.08 "," 1,004.16 "
Total," 1,061.76 "," 1,237.61 "," 1,690.77 "," 1,898.05 "," 1,905.37 "," 2,072.94 "," 1,507.26 "," 1,550.60 "," 1,590.75 "," 1,847.09 "
,,,,,,,,,,
Working Capital, 469.39 , 664.62 ," 1,123.57 "," 1,242.34 "," 1,242.66 "," 1,253.68 "," 1,036.26 "," 1,171.56 "," 1,239.28 ", 953.07 
Debtors, 18.44 , 62.82 , 151.42 , 226.46 , 53.70 , 359.05 , 417.32 , 440.52 , 377.06 , 362.08 
Inventory, 537.90 , 687.60 , 943.66 ," 1,132.83 "," 1,333.59 "," 1,267.00 ", 683.93 , 731.18 , 824.46 , 541.21 
,,,,,,,,,,
Debtor Days, 4.37 , 33.38 , 47.44 , 79.81 , 16.21 , 71.38 , 250.46 , 175.78 , 134.74 , 216.67 
Inventory Turnover, 2.86 , 1.00 , 1.23 , 0.91 , 0.91 , 1.45 , 0.89 , 1.25 , 1.24 , 1.13 
,,,,,,,,,,
Return on Equity,33%,16%,12%,2%,1%,0%,-86%,-31%,0%,-49%
Return on Capital Emp,,18%,13%,7%,8%,5%,-15%,-5%,2%,-18%
,,,,,,,,,,
