CAPACITE INFRAPROJECTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 2.61 , 173.50 , 505.17 , 803.96 ," 1,125.08 "," 1,335.64 "," 1,787.61 "," 1,846.89 "," 1,940.55 "
Expenses, -   , -   , -   , -   , 4.99 , 158.71 , 445.91 , 699.45 , 928.07 ," 1,132.32 "," 1,539.12 "," 1,561.29 "," 1,670.80 "
Operating Profit, -   , -   , -   , -   , (2.38), 14.79 , 59.26 , 104.51 , 197.01 , 203.32 , 248.49 , 285.60 , 269.75 
Other Income, -   , -   , -   , -   , 0.42 , 1.31 , 6.99 , 12.87 , 15.09 , 24.36 , 36.88 , -   , -   
Depreciation, -   , -   , -   , -   , 0.05 , 2.35 , 8.68 , 15.32 , 65.13 , 67.22 , 89.00 , 89.00 , 89.00 
Interest, -   , -   , -   , -   , 0.19 , 2.76 , 13.17 , 29.43 , 41.67 , 39.75 , 49.12 , 49.12 , 49.12 
Profit before tax, -   , -   , -   , -   , (2.18), 10.97 , 44.40 , 72.60 , 105.29 , 120.70 , 147.25 , 147.48 , 131.63 
Tax, -   , -   , -   , -   , 0.13 , 5.92 , 13.64 , 24.92 , 36.19 , 41.96 , 51.68 ,35%,35%
Net profit, -   , -   , -   , -   , (2.32), 5.05 , 30.77 , 47.68 , 69.10 , 78.75 , 95.59 , 95.72 , 85.43 
EPS, -   , -   , -   , -   , (7.73), 12.55 , 62.26 , 82.83 , 17.15 , 11.60 , 14.08 , 14.10 , 12.58 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 29.90 , 19.47 , 24.69 , 19.47 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 346.85 , 274.15 , 348.05 , 245.02 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.41%,2.91%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,8.52%,11.73%,13.00%,17.51%,15.22%,13.90%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,248.18%,38.28%,33.84%,38.28%,33.84%
,,,,,,OPM,14.67%,14.67%,14.68%,15.46%,13.90%,15.46%,13.90%
,,,,,,Price to Earning, 24.69 , 24.69 , 24.69 , 24.69 , 19.47 , 24.69 , 19.47 
