COX & KINGS FINANCIAL SERVICE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.13 , -   , 0.13 , 0.13 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 0.21 , 0.70 , -   , 0.13 , 0.13 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , (0.21), (0.57), -   , -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , (0.21), (0.58), -   , -   , -   
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.03 , -   ,0%,0%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , (0.21), (0.60), -   , -   , -   
EPS, -   , -   , -   , -   , -   , -   , -   , -   , (0.20), (0.43), -   , -   , -   
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14.15 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
