GILLETTE INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18
Equity Share Capital, 32.59 , 32.59 , 32.59 , 32.59 , 32.59 , 32.59 , 32.59 , 32.59 , 32.59 , 32.59 
Reserves, 458.30 , 538.40 , 567.75 , 586.67 , 616.64 , 610.87 , 709.75 , 904.03 , 468.02 , 661.59 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 162.43 , 268.77 , 239.77 , 431.15 , 396.84 , 419.67 , 474.83 , 493.39 , 502.73 , 519.59 
Total, 653.32 , 839.76 , 840.11 ," 1,050.41 "," 1,046.07 "," 1,063.13 "," 1,217.17 "," 1,430.01 "," 1,003.34 "," 1,213.77 "
,,,,,,,,,,
Net Block, 89.11 , 120.64 , 124.79 , 151.46 , 170.21 , 172.63 , 156.17 , 178.10 , 214.09 , 264.41 
Capital Work in Progress, 2.43 , 2.63 , 34.17 , 37.92 , 29.78 , 60.84 , 63.14 , 88.21 , 63.34 , 40.37 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 561.78 , 716.49 , 681.15 , 861.03 , 846.08 , 829.66 , 997.86 ," 1,163.70 ", 725.91 , 908.99 
Total, 653.32 , 839.76 , 840.11 ," 1,050.41 "," 1,046.07 "," 1,063.13 "," 1,217.17 "," 1,430.01 "," 1,003.34 "," 1,213.77 "
,,,,,,,,,,
Working Capital, 399.35 , 447.72 , 441.38 , 429.88 , 449.24 , 409.99 , 523.03 , 670.31 , 223.18 , 389.40 
Debtors, 60.57 , 78.40 , 62.23 , 68.67 , 92.70 , 92.26 , 116.76 , 109.76 , 130.27 , 176.04 
Inventory, 100.96 , 141.37 , 193.84 , 210.88 , 239.73 , 230.55 , 201.57 , 244.55 , 222.38 , 200.15 
,,,,,,,,,,
Debtor Days, 33.89 , 33.96 , 21.69 , 20.54 , 23.76 , 20.26 , 22.73 , 22.83 , 27.44 , 38.42 
Inventory Turnover, 6.46 , 5.96 , 5.40 , 5.79 , 5.94 , 7.21 , 9.30 , 7.18 , 7.79 , 8.36 
,,,,,,,,,,
Return on Equity,23%,24%,14%,12%,13%,8%,21%,23%,51%,33%
Return on Capital Emp,,40%,23%,19%,22%,12%,32%,39%,53%,59%
,,,,,,,,,,
