ARROW TEXTILES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 18.70 , 23.37 , 29.30 , 31.87 , 36.83 , 41.83 , 47.81 , 49.02 , 47.33 , 39.65 , 42.42 , 42.42 , 37.08 
Expenses, 16.34 , 20.36 , 21.79 , 25.79 , 28.53 , 32.61 , 35.71 , 36.95 , 38.35 , 33.47 , 37.55 , 33.93 , 32.83 
Operating Profit, 2.36 , 3.01 , 7.51 , 6.08 , 8.30 , 9.22 , 12.10 , 12.07 , 8.98 , 6.18 , 4.87 , 8.49 , 4.26 
Other Income, 0.62 , 0.18 , 0.35 , 1.41 , 0.47 , 0.81 , 0.02 , 1.45 , 1.41 , 1.22 , 0.64 , -   , -   
Depreciation, 1.33 , 1.42 , 3.31 , 4.32 , 4.46 , 3.17 , 3.90 , 4.20 , 3.95 , 4.46 , 3.86 , 3.86 , 3.86 
Interest, 1.68 , 1.66 , 1.76 , 2.88 , 2.85 , 1.60 , 1.31 , 1.24 , 0.69 , 0.41 , 0.29 , 0.29 , 0.29 
Profit before tax, (0.03), 0.11 , 2.79 , 0.29 , 1.46 , 5.27 , 6.93 , 8.08 , 5.75 , 2.53 , 1.36 , 4.34 , 0.11 
Tax, 0.53 , 0.55 , 1.42 , 0.56 , (1.52), 1.69 , 2.20 , 2.77 , 1.88 , 0.93 , 0.33 ,24%,24%
Net profit, (0.56), (0.44), 1.37 , (0.27), 2.98 , 3.57 , 4.73 , 5.31 , 3.88 , 1.61 , 1.04 , 3.29 , 0.08 
EPS, (0.41), (0.32), 1.01 , (0.14), 1.56 , 1.87 , 2.48 , 2.79 , 2.04 , 0.85 , 0.55 , 1.73 , 0.04 
Price to earning,  , (26.24), 10.50 , (46.87), 3.54 , 2.74 , 11.79 , 12.20 , 23.04 , 43.07 , 31.94 , 31.94 , 17.35 
Price, -   , 8.49 , 10.58 , 6.65 , 5.54 , 5.14 , 29.27 , 34.01 , 46.95 , 36.41 , 17.45 , 55.19 , 0.74 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.78%,73.71%,177.64%,,,
OPM,12.62%,12.88%,25.63%,19.08%,22.54%,22.04%,25.31%,24.62%,18.97%,15.59%,11.48%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.71%,4.42%,1.49%,-6.05%,6.99%,6.99%,-6.05%
,,,,,,OPM,20.73%,21.38%,21.52%,20.02%,11.48%,20.02%,11.48%
,,,,,,Price to Earning, 17.35 , 18.33 , 20.80 , 27.56 , 31.94 , 31.94 , 17.35 
