ASTRAZENECA PHARMA INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 81.64 , 32.57 , 64.50 , 38.72 , (6.04), (0.80), (45.70), 56.99 , 38.10 , 8.79 
Cash from Investing Activity, 5.26 , 2.19 , (27.69), (33.68), (15.62), (14.57), (18.64), (3.61), 0.25 , (9.36)
Cash from Financing Activity, (54.14), (110.88), (29.09), (29.07), (10.32), 86.22 , -   , (0.51), -   , -   
Net Cash Flow, 32.76 , (76.12), 7.72 , (24.03), (31.98), 70.85 , (64.34), 52.87 , 38.35 , (0.57)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
