INDIAN ENERGY EXCHANGE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 138.22 , 173.99 , 176.19 , 199.95 , 232.30 , 255.51 , 254.08 , 289.21 , 280.90 
Expenses, -   , -   , -   , -   , 33.90 , 38.44 , 40.70 , 49.86 , 55.18 , 45.58 , 51.24 , 58.33 , 62.97 
Operating Profit, -   , -   , -   , -   , 104.32 , 135.55 , 135.49 , 150.09 , 177.12 , 209.93 , 202.84 , 230.89 , 217.93 
Other Income, -   , -   , -   , -   , (5.73), 0.01 , 0.19 , 0.19 , 0.57 , 0.56 , 40.08 , -   , -   
Depreciation, -   , -   , -   , -   , 5.70 , 2.65 , 2.95 , 3.39 , 3.42 , 10.27 , 10.42 , 10.42 , 10.42 
Interest, -   , -   , -   , -   , 0.02 , 0.02 , 0.24 , 0.27 , 0.42 , 0.23 , 0.74 , 0.74 , 0.74 
Profit before tax, -   , -   , -   , -   , 92.87 , 132.87 , 132.50 , 146.63 , 173.85 , 200.00 , 231.76 , 219.73 , 206.77 
Tax, -   , -   , -   , -   , 26.58 , 40.92 , 42.49 , 46.29 , 60.27 , 68.31 , 66.72 ,29%,29%
Net profit, -   , -   , -   , -   , 66.30 , 91.95 , 90.02 , 100.34 , 113.58 , 131.69 , 165.03 , 156.47 , 147.24 
EPS, -   , -   , -   , -   , 2.43 , 3.37 , 3.30 , 3.48 , 3.94 , 4.34 , 5.51 , 5.22 , 4.92 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 37.29 , 27.77 , 32.53 , 27.77 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 161.91 , 153.00 , 169.92 , 136.51 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,8.24%,8.91%,87.95%,54.55%,113.36%,50.38%,,,
OPM,0.00%,0.00%,0.00%,0.00%,75.47%,77.91%,76.90%,75.06%,76.25%,82.16%,79.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,13.08%,13.19%,9.99%,13.19%,9.99%
,,,,,,OPM,77.58%,77.58%,77.86%,78.10%,79.83%,79.83%,77.58%
,,,,,,Price to Earning, 32.53 , 32.53 , 32.53 , 32.53 , 27.77 , 32.53 , 27.77 
