ADOR WELDING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 , 13.60 
Reserves, 117.79 , 133.88 , 150.05 , 161.49 , 171.03 , 167.30 , 190.41 , 204.88 , 223.80 , 234.11 
Borrowings, -   , -   , 0.64 , 1.28 , 1.70 , 1.40 , 0.43 , 0.17 , 35.47 , 81.20 
Other Liabilities, 39.33 , 38.46 , 46.80 , 57.40 , 69.52 , 92.92 , 82.90 , 119.73 , 109.17 , 103.59 
Total, 170.72 , 185.94 , 211.09 , 233.77 , 255.85 , 275.22 , 287.34 , 338.38 , 382.04 , 432.50 
,,,,,,,,,,
Net Block, 82.37 , 81.84 , 78.86 , 77.01 , 81.06 , 75.28 , 95.94 , 98.74 , 101.09 , 102.22 
Capital Work in Progress, 9.96 , 0.42 , 0.99 , 1.98 , 0.45 , 1.76 , 1.60 , 1.36 , 4.02 , 0.77 
Investments, -   , 11.07 , 25.68 , 36.27 , 32.65 , 13.85 , 6.55 , 12.15 , 14.18 , 5.97 
Other Assets, 78.39 , 92.61 , 105.56 , 118.51 , 141.69 , 184.33 , 183.25 , 226.13 , 262.75 , 323.54 
Total, 170.72 , 185.94 , 211.09 , 233.77 , 255.85 , 275.22 , 287.34 , 338.38 , 382.04 , 432.50 
,,,,,,,,,,
Working Capital, 39.06 , 54.15 , 58.76 , 61.11 , 72.17 , 91.41 , 100.35 , 106.40 , 153.58 , 219.95 
Debtors, 13.07 , 26.27 , 31.22 , 36.57 , 72.58 , 78.10 , 83.23 , 119.64 , 76.33 , 92.04 
Inventory, 35.81 , 37.99 , 49.09 , 53.22 , 43.66 , 49.90 , 43.04 , 42.99 , 47.75 , 53.84 
,,,,,,,,,,
Debtor Days, 21.41 , 36.88 , 38.60 , 39.15 , 72.75 , 77.39 , 78.58 , 107.34 , 63.11 , 73.39 
Inventory Turnover, 6.22 , 6.84 , 6.01 , 6.41 , 8.34 , 7.38 , 8.98 , 9.46 , 9.25 , 8.50 
,,,,,,,,,,
Return on Equity,9%,17%,16%,12%,10%,2%,16%,10%,8%,7%
Return on Capital Emp,,26%,23%,17%,15%,8%,26%,16%,12%,11%
,,,,,,,,,,
