GLOBUS SPIRITS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.26 , 19.76 , 23.00 , 23.00 , 23.00 , 23.00 , 28.80 , 28.80 , 28.80 , 28.80 
Reserves, 47.51 , 141.62 , 185.55 , 224.31 , 254.08 , 254.57 , 326.27 , 334.74 , 343.50 , 350.57 
Borrowings, 17.31 , 13.71 , 58.66 , 106.42 , 86.90 , 101.91 , 144.19 , 252.95 , 271.93 , 251.51 
Other Liabilities, 44.54 , 74.50 , 93.87 , 145.85 , 229.58 , 218.17 , 153.86 , 132.81 , 183.84 , 196.56 
Total, 121.62 , 249.59 , 361.08 , 499.58 , 593.56 , 597.65 , 653.12 , 749.30 , 828.07 , 827.44 
,,,,,,,,,,
Net Block, 56.33 , 89.36 , 219.51 , 279.54 , 415.16 , 414.75 , 460.48 , 434.23 , 631.73 , 608.54 
Capital Work in Progress, 0.40 , 46.92 , 12.87 , 60.17 , 20.81 , 28.96 , 31.23 , 131.35 , 0.35 , 0.47 
Investments, 0.03 , 0.03 , 0.12 , 0.12 , 0.18 , 0.10 , 0.17 , 0.15 , 4.95 , 4.95 
Other Assets, 64.86 , 113.28 , 128.58 , 159.75 , 157.41 , 153.84 , 161.24 , 183.57 , 191.04 , 213.48 
Total, 121.62 , 249.59 , 361.08 , 499.58 , 593.56 , 597.65 , 653.12 , 749.30 , 828.07 , 827.44 
,,,,,,,,,,
Working Capital, 20.32 , 38.78 , 34.71 , 13.90 , (72.17), (64.33), 7.38 , 50.76 , 7.20 , 16.92 
Debtors, 25.84 , 27.98 , 42.05 , 55.33 , 61.84 , 47.30 , 38.15 , 37.48 , 35.29 , 48.35 
Inventory, 23.32 , 27.19 , 33.25 , 46.83 , 34.62 , 45.52 , 50.05 , 41.41 , 67.83 , 73.02 
,,,,,,,,,,
Debtor Days, 48.10 , 38.87 , 40.09 , 39.96 , 44.98 , 34.77 , 23.78 , 19.36 , 16.65 , 18.25 
Inventory Turnover, 8.41 , 9.66 , 11.51 , 10.79 , 14.49 , 10.91 , 11.70 , 17.07 , 11.41 , 13.25 
,,,,,,,,,,
Return on Equity,22%,18%,19%,17%,12%,2%,2%,3%,4%,2%
Return on Capital Emp,,38%,26%,20%,16%,4%,6%,6%,5%,6%
,,,,,,,,,,
