HCL TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 4,675.09 "," 5,078.76 "," 6,794.48 "," 8,907.22 "," 12,517.82 "," 16,497.37 "," 17,153.44 "," 13,434.64 "," 19,318.00 "," 22,073.00 "," 26,012.00 "," 26,012.00 "," 24,353.88 "
Expenses," 3,469.22 "," 3,722.32 "," 5,278.11 "," 6,397.00 "," 7,927.09 "," 9,186.48 "," 10,293.84 "," 8,298.80 "," 11,465.00 "," 12,734.00 "," 15,594.00 "," 15,418.57 "," 15,171.24 "
Operating Profit," 1,205.87 "," 1,356.44 "," 1,516.37 "," 2,510.22 "," 4,590.73 "," 7,310.89 "," 6,859.60 "," 5,135.84 "," 7,853.00 "," 9,339.00 "," 10,418.00 "," 10,593.43 "," 9,182.64 "
Other Income, 265.81 , 171.77 , 166.27 , 300.86 , 472.38 , 659.12 ," 1,199.50 ", 968.42 , 956.00 , 702.00 , 805.00 , -   , -   
Depreciation, 251.89 , 274.03 , 291.37 , 353.07 , 441.91 , 490.70 , 299.92 , 276.89 , 478.00 , 893.00 ," 1,276.00 "," 1,276.00 "," 1,276.00 "
Interest, 28.09 , 101.36 , 101.39 , 97.27 , 76.46 , 81.65 , 60.64 , 45.82 , 55.00 , 23.00 , 16.00 , 16.00 , 16.00 
Profit before tax," 1,191.70 "," 1,152.82 "," 1,289.88 "," 2,360.74 "," 4,544.74 "," 7,397.66 "," 7,698.54 "," 5,781.55 "," 8,276.00 "," 9,125.00 "," 9,931.00 "," 9,301.43 "," 7,890.64 "
Tax, 194.39 , 96.24 , 91.60 , 410.32 , 840.02 ," 1,413.04 "," 1,352.59 "," 1,062.47 "," 1,403.00 "," 1,763.00 "," 1,746.00 ",18%,18%
Net profit, 997.31 ," 1,056.58 "," 1,198.28 "," 1,950.42 "," 3,704.72 "," 5,984.62 "," 6,345.95 "," 4,719.08 "," 6,873.00 "," 7,362.00 "," 8,185.00 "," 7,666.12 "," 6,503.36 "
EPS, 7.26 , 7.65 , 8.61 , 13.97 , 26.47 , 42.66 , 45.14 , 33.46 , 48.17 , 52.88 , 60.35 , 56.52 , 47.95 
Price to earning, 14.15 , 24.01 , 29.06 , 17.54 , 16.10 , 17.66 , 21.04 , 24.86 , 17.18 , 19.07 , 17.63 , 19.68 , 17.63 
Price, 102.80 , 183.63 , 250.22 , 245.06 , 426.00 , 753.43 , 949.48 , 831.75 , 827.39 ," 1,008.18 "," 1,064.20 "," 1,112.58 ", 845.56 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,47.04%,25.70%,43.11%,42.66%,22.57%,11.70%,66.47%,47.82%,49.76%,22.66%,,,
OPM,25.79%,26.71%,22.32%,28.18%,36.67%,44.32%,39.99%,38.23%,40.65%,42.31%,40.05%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.82%,18.33%,12.01%,8.77%,17.85%,17.85%,8.77%
,,,,,,OPM,37.71%,39.67%,41.25%,40.73%,40.05%,40.73%,37.71%
,,,,,,Price to Earning, 19.84 , 18.88 , 19.57 , 19.68 , 17.63 , 19.68 , 17.63 
