ELECTROTHERM (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Sep-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,682.78 "," 2,002.76 "," 2,296.89 "," 2,246.06 "," 1,054.02 ", 659.86 ," 1,829.21 "," 1,862.21 "," 1,969.85 "," 2,734.52 "," 3,582.51 "," 3,796.02 "," 2,824.90 "
Expenses," 1,445.56 "," 1,730.86 "," 1,972.27 "," 2,414.41 "," 1,085.94 ", 884.77 ," 2,122.10 "," 1,940.87 "," 1,895.79 "," 2,579.65 "," 3,325.21 "," 3,523.39 "," 2,772.56 "
Operating Profit, 237.22 , 271.90 , 324.62 , (168.35), (31.92), (224.91), (292.89), (78.66), 74.06 , 154.87 , 257.30 , 272.63 , 52.34 
Other Income, 6.90 , 14.02 , 16.86 , 25.80 , 6.40 , (25.00), 4.05 , 4.45 , (2.63), 6.12 , 6.48 , -   , -   
Depreciation, 51.79 , 72.38 , 107.78 , 199.18 , 138.83 , 69.39 , 146.18 , 143.06 , 144.10 , 144.90 , 140.11 , 140.11 , 140.11 
Interest, 115.04 , 133.25 , 192.20 , 474.03 , 101.55 , 1.89 , 6.37 , 1.04 , 4.10 , 4.89 , 13.45 , 13.45 , 13.45 
Profit before tax, 77.29 , 80.29 , 41.50 , (815.76), (265.90), (321.19), (441.39), (218.31), (76.77), 11.20 , 110.22 , 119.07 , (101.22)
Tax, 25.04 , 26.49 , 12.67 , (86.51), -   , (0.03), (0.88), -   , -   , -   , -   ,0%,0%
Net profit, 52.25 , 53.80 , 28.83 , (729.25), (265.90), (321.16), (440.51), (218.31), (76.77), 11.20 , 110.22 , 119.07 , (101.22)
EPS, 45.53 , 46.88 , 25.12 , (635.44), (231.69), (279.84), (383.84), (190.23), (60.25), 8.79 , 86.50 , 93.45 , (79.43)
Price to earning, 2.71 , 7.16 , 8.63 , (0.08), (0.06), (0.07), (0.08), (0.36), (2.87), 17.93 , 4.06 , 11.00 , 4.06 
Price, 123.51 , 335.77 , 216.72 , 51.11 , 14.26 , 20.82 , 29.71 , 68.05 , 172.62 , 157.57 , 351.55 ," 1,027.53 ", (322.84)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.49%,5.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,14.10%,13.58%,14.13%,0.00%,0.00%,0.00%,0.00%,0.00%,3.76%,5.66%,7.18%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.54%,2.52%,21.01%,14.34%,38.82%,38.82%,2.52%
,,,,,,OPM,5.79%,1.85%,2.53%,3.49%,7.18%,7.18%,1.85%
,,,,,,Price to Earning, 8.10 , 11.00 , 11.00 , 11.00 , 4.06 , 11.00 , 4.06 
