JINDAL POLY INVESTMENT & FINANCE COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 0.05 , 10.51 , 10.51 , 10.51 , 10.51 , 10.51 
Reserves, -   , -   , -   , -   , 629.59 , 636.97 , 636.81 , 636.18 , 635.84 , 477.49 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , 14.03 , 0.09 , 0.08 , 0.16 , 0.09 , 0.11 
Total, -   , -   , -   , -   , 643.67 , 647.57 , 647.40 , 646.85 , 646.44 , 488.11 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , 616.37 , 620.39 , 620.74 , 620.57 , 623.51 , 465.35 
Other Assets, -   , -   , -   , -   , 27.30 , 27.18 , 26.66 , 26.28 , 22.93 , 22.76 
Total, -   , -   , -   , -   , 643.67 , 647.57 , 647.40 , 646.85 , 646.44 , 488.11 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 13.27 , 27.09 , 26.58 , 26.12 , 22.84 , 22.65 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,4%,1%,0%,0%,0%,-32%
Return on Capital Emp,,,,,8%,1%,0%,0%,0%,-28%
,,,,,,,,,,
