ABBOTT INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Nov-08,Nov-09,Dec-10,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 666.02 , 760.93 , 989.88 ," 1,490.21 "," 1,652.68 "," 2,275.91 "," 2,289.33 "," 2,614.50 "," 2,902.56 "," 3,298.50 "," 3,678.60 "," 3,748.45 "," 3,774.72 "
Expenses, 620.07 , 697.09 , 967.33 ," 1,314.71 "," 1,469.58 "," 2,008.62 "," 1,977.08 "," 2,249.88 "," 2,505.06 "," 2,773.71 "," 3,073.85 "," 3,132.22 "," 3,304.91 "
Operating Profit, 45.95 , 63.84 , 22.55 , 175.50 , 183.10 , 267.29 , 312.25 , 364.62 , 397.50 , 524.79 , 604.75 , 616.23 , 469.81 
Other Income, 25.73 , 29.07 , 35.85 , 19.68 , 51.40 , 49.29 , 47.55 , 50.35 , 57.45 , 116.71 , 113.28 , -   , -   
Depreciation, 6.98 , 9.01 , 11.25 , 15.00 , 19.49 , 21.93 , 14.94 , 14.44 , 16.43 , 16.19 , 16.92 , 16.92 , 16.92 
Interest, 0.02 , 0.20 , 0.04 , 0.03 , 0.02 , 0.08 , 0.50 , 2.52 , 2.04 , 3.82 , 2.26 , 2.26 , 2.26 
Profit before tax, 94.30 , 117.33 , 94.10 , 180.15 , 214.99 , 294.56 , 344.36 , 398.01 , 436.49 , 621.48 , 698.85 , 597.05 , 450.63 
Tax, 31.43 , 39.82 , 33.16 , 59.76 , 70.30 , 96.10 , 115.40 , 142.76 , 159.84 , 220.26 , 248.53 ,36%,36%
Net profit, 62.87 , 77.51 , 60.94 , 120.39 , 144.70 , 198.45 , 228.96 , 255.25 , 276.65 , 401.22 , 450.32 , 384.72 , 290.37 
EPS, 45.97 , 56.68 , 44.56 , 56.66 , 68.10 , 93.39 , 107.75 , 120.12 , 130.19 , 188.82 , 211.92 , 181.05 , 136.65 
Price to earning, 8.38 , 13.69 , 28.32 , 25.73 , 21.57 , 19.18 , 36.51 , 38.92 , 35.63 , 31.83 , 37.76 , 37.76 , 27.05 
Price, 385.24 , 775.80 ," 1,262.03 "," 1,457.72 "," 1,468.63 "," 1,791.51 "," 3,933.63 "," 4,674.85 "," 4,638.81 "," 6,010.00 "," 8,000.95 "," 6,835.51 "," 3,695.77 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.46%,30.01%,38.17%,30.01%,24.97%,24.63%,28.77%,29.14%,30.72%,29.13%,,,
OPM,6.90%,8.39%,2.28%,11.78%,11.08%,11.74%,13.64%,13.95%,13.69%,15.91%,16.44%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.45%,18.76%,14.82%,12.95%,13.64%,13.64%,12.95%
,,,,,,OPM,12.45%,13.47%,13.95%,14.60%,16.44%,16.44%,12.45%
,,,,,,Price to Earning, 27.05 , 30.89 , 33.30 , 36.03 , 37.76 , 37.76 , 27.05 
