KSB LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales, 556.05 , 599.14 , 740.92 , 712.10 , 729.72 , 799.86 , 817.06 , 824.78 , 945.92 ," 1,093.07 "," 1,169.90 "," 1,263.11 "," 1,159.90 "
Expenses, 446.94 , 524.52 , 669.77 , 621.66 , 629.85 , 701.93 , 714.87 , 719.49 , 838.41 , 964.69 ," 1,029.50 "," 1,111.52 "," 1,021.71 "
Operating Profit, 109.11 , 74.62 , 71.15 , 90.44 , 99.87 , 97.93 , 102.19 , 105.29 , 107.51 , 128.38 , 140.40 , 151.59 , 138.19 
Other Income, 12.69 , 19.57 , 14.55 , 18.11 , 15.80 , 27.52 , 30.87 , 26.18 , 31.58 , 26.71 , 22.60 , -   , -   
Depreciation, 20.34 , 20.74 , 21.89 , 23.54 , 26.53 , 27.55 , 27.77 , 29.36 , 30.88 , 39.67 , 40.20 , 40.20 , 40.20 
Interest, 1.82 , 0.54 , 2.78 , 5.24 , 2.59 , 2.15 , 1.73 , 3.15 , 3.55 , 3.75 , 4.10 , 4.10 , 4.10 
Profit before tax, 100.78 , 74.24 , 62.30 , 80.66 , 87.60 , 97.13 , 105.48 , 98.96 , 104.67 , 111.67 , 118.70 , 107.29 , 93.89 
Tax, 34.60 , 22.67 , 19.32 , 22.64 , 27.84 , 31.70 , 35.66 , 33.62 , 36.96 , 37.65 , 40.20 ,34%,34%
Net profit, 66.18 , 51.57 , 42.98 , 58.02 , 59.76 , 65.42 , 69.83 , 65.34 , 67.71 , 74.03 , 78.50 , 70.95 , 62.09 
EPS, 9.63 , 7.50 , 6.25 , 8.44 , 8.69 , 9.51 , 20.06 , 18.77 , 19.45 , 21.27 , 22.55 , 20.38 , 17.84 
Price to earning, 22.19 , 34.07 , 27.33 , 24.23 , 29.36 , 67.20 , 28.68 , 33.13 , 45.67 , 34.49 , 31.56 , 36.21 , 31.56 
Price, 213.58 , 255.53 , 170.85 , 204.50 , 255.20 , 639.41 , 575.39 , 621.94 , 888.41 , 733.43 , 711.65 , 738.08 , 562.88 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.86%,33.74%,32.39%,33.01%,32.04%,29.27%,27.42%,29.31%,30.85%,28.22%,,,
OPM,19.62%,12.45%,9.60%,12.70%,13.69%,12.24%,12.51%,12.77%,11.37%,11.74%,12.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.80%,5.71%,8.42%,10.19%,15.56%,15.56%,5.71%
,,,,,,OPM,12.62%,12.35%,12.08%,11.91%,12.00%,12.00%,11.91%
,,,,,,Price to Earning, 34.36 , 36.79 , 40.12 , 36.21 , 31.56 , 36.21 , 31.56 
