ACTION CONSTRUCTION EQUIPMENTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 428.51 , 427.12 , 693.56 , 855.51 , 667.85 , 614.93 , 597.66 , 637.30 , 751.03 ," 1,086.49 "," 1,342.48 "," 1,571.79 "," 1,175.40 "
Expenses, 407.04 , 392.35 , 632.77 , 803.02 , 638.13 , 575.44 , 576.69 , 606.35 , 711.14 , 994.36 ," 1,244.57 "," 1,457.15 "," 1,106.45 "
Operating Profit, 21.47 , 34.77 , 60.79 , 52.49 , 29.72 , 39.49 , 20.97 , 30.95 , 39.89 , 92.13 , 97.91 , 114.63 , 68.94 
Other Income, 18.71 , 6.87 , 5.38 , 4.54 , 5.38 , (8.69), 11.19 , 9.47 , 7.81 , 7.94 , 9.71 , -   , -   
Depreciation, 5.74 , 5.25 , 6.89 , 11.33 , 13.61 , 15.27 , 9.57 , 11.35 , 12.07 , 11.93 , 11.75 , 11.75 , 11.75 
Interest, 4.30 , 3.65 , 4.96 , 7.35 , 10.45 , 10.41 , 13.01 , 14.01 , 15.96 , 13.53 , 11.52 , 11.52 , 11.52 
Profit before tax, 30.14 , 32.74 , 54.32 , 38.35 , 11.05 , 5.12 , 9.57 , 15.06 , 19.67 , 74.62 , 84.35 , 91.36 , 45.67 
Tax, 7.41 , 8.30 , 13.73 , 9.88 , 3.83 , 1.09 , 2.82 , 6.26 , 5.21 , 21.98 , 28.19 ,33%,33%
Net profit, 22.73 , 24.44 , 40.59 , 28.47 , 7.21 , 4.02 , 6.75 , 8.81 , 14.47 , 52.64 , 56.16 , 60.83 , 30.41 
EPS, 2.53 , 2.72 , 4.37 , 2.88 , 0.73 , 0.41 , 0.68 , 0.75 , 1.23 , 4.49 , 4.79 , 5.18 , 2.59 
Price to earning, 6.32 , 17.65 , 10.83 , 11.26 , 16.83 , 45.17 , 60.00 , 52.24 , 52.54 , 39.86 , 23.72 , 42.09 , 23.72 
Price, 15.98 , 48.00 , 47.33 , 32.41 , 12.27 , 18.35 , 40.93 , 39.23 , 64.80 , 178.84 , 113.55 , 218.23 , 61.48 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.84%,36.78%,45.77%,6.95%,27.46%,24.63%,29.33%,26.67%,24.33%,11.15%,,,
OPM,5.01%,8.14%,8.76%,6.14%,4.45%,6.42%,3.51%,4.86%,5.31%,8.48%,7.29%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.89%,6.62%,10.22%,22.05%,44.67%,44.67%,6.62%
,,,,,,OPM,6.25%,5.87%,6.06%,6.59%,7.29%,7.29%,5.87%
,,,,,,Price to Earning, 30.58 , 37.70 , 45.59 , 42.09 , 23.72 , 42.09 , 23.72 
