CEREBRA INTEGRATED TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 50.34 , 58.88 , 71.95 , 95.13 , 122.84 , 61.17 , 129.82 , 133.91 , 145.56 , 174.38 , 295.76 , 295.76 , 195.85 
Expenses, 48.76 , 58.18 , 71.16 , 90.97 , 120.97 , 61.15 , 129.70 , 135.64 , 142.93 , 155.24 , 268.38 , 268.38 , 190.03 
Operating Profit, 1.58 , 0.70 , 0.79 , 4.16 , 1.87 , 0.02 , 0.12 , (1.73), 2.63 , 19.14 , 27.38 , 27.38 , 5.82 
Other Income, 0.13 , 0.85 , 0.75 , 0.64 , 1.47 , 0.13 , 0.01 , 3.84 , 1.43 , 1.83 , 7.82 , -   , -   
Depreciation, 0.21 , 0.16 , 0.16 , 0.23 , 0.21 , 0.10 , 0.41 , 0.35 , 0.11 , 0.23 , 0.29 , 0.29 , 0.29 
Interest, 0.04 , 0.03 , 0.04 , 0.10 , 0.12 , 0.04 , 0.48 , 0.77 , 0.14 , 0.77 , 1.74 , 1.74 , 1.74 
Profit before tax, 1.46 , 1.36 , 1.34 , 4.45 , 3.00 , -   , (0.76), 1.00 , 3.82 , 19.95 , 33.17 , 25.35 , 3.79 
Tax, -   , 0.25 , 0.13 , 0.62 , (0.56), -   , -   , -   , 0.96 , 7.32 , 11.61 ,35%,35%
Net profit, 1.46 , 1.11 , 1.21 , 3.83 , 3.57 , 0.01 , (0.76), 1.00 , 2.86 , 12.62 , 21.57 , 16.48 , 2.46 
EPS, 0.97 , 0.70 , 0.33 , 0.80 , 0.74 , 0.00 , (0.09), 0.10 , 0.26 , 1.05 , 1.78 , 1.36 , 0.20 
Price to earning, 9.11 , 42.68 , 107.69 , 33.66 , 12.70 ," 3,826.28 ", (165.40), 189.52 , 165.66 , 62.00 , 15.06 , 108.06 , 15.06 
Price, 8.82 , 29.67 , 35.34 , 26.81 , 9.43 , 7.96 , 14.91 , 19.66 , 43.67 , 64.99 , 26.80 , 146.92 , 3.06 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,3.14%,1.19%,1.10%,4.37%,1.52%,0.03%,0.09%,0.00%,1.81%,10.98%,9.26%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.80%,13.48%,7.26%,10.34%,69.61%,69.61%,7.26%
,,,,,,OPM,2.97%,3.24%,3.40%,4.80%,9.26%,9.26%,2.97%
,,,,,,Price to Earning, 446.44 , 614.98 , 851.70 , 108.06 , 15.06 , 108.06 , 15.06 
