KREBS BIOCHEMICALS & INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Sep-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 50.14 , 44.23 , 70.55 , 68.89 , 11.31 , -   , -   , 1.14 , 3.23 , 33.79 , 47.77 , 353.49 , 29.02 
Expenses, 79.15 , 42.03 , 72.24 , 74.54 , 24.62 , 4.01 , 38.20 , 14.98 , 11.58 , 41.46 , 57.57 , 353.49 , 29.02 
Operating Profit, (29.01), 2.20 , (1.69), (5.65), (13.31), (4.01), (38.20), (13.84), (8.35), (7.67), (9.80), -   , -   
Other Income, 0.02 , (2.05), 7.03 , 2.76 , 6.14 , 0.15 , 36.26 , 2.59 , (0.01), (0.86), 0.43 , -   , -   
Depreciation, 9.54 , 9.88 , 9.60 , 9.66 , 8.28 , -   , 1.87 , 4.49 , 4.23 , 4.15 , 4.39 , 4.39 , 4.39 
Interest, 6.06 , 6.95 , 7.52 , 8.66 , 0.63 , 0.08 , 4.03 , 0.74 , 3.49 , 5.17 , 6.24 , 6.24 , 6.24 
Profit before tax, (43.53), (14.68), (9.88), (19.34), (15.95), (3.95), (7.84), (16.32), (16.05), (17.83), (20.00), (10.63), (10.63)
Tax, (0.91), (9.01), (3.20), (1.90), (0.74), 0.40 , -   , -   , -   , -   , -   ,0%,0%
Net profit, (42.62), (5.67), (6.68), (17.44), (15.20), (4.35), (7.84), (16.32), (16.05), (17.82), (20.01), (10.63), (10.63)
EPS, (47.09), (6.27), (7.38), (18.33), (15.98), (4.57), (8.24), (12.49), (11.68), (12.97), (12.03), (6.39), (6.39)
Price to earning, (0.43), (6.21), (4.78), (1.20), (0.74), (8.50), (13.75), (8.04), (7.74), (13.43), -   , -   , -   
Price, 20.14 , 38.90 , 35.25 , 21.99 , 11.86 , 38.87 , 113.27 , 100.39 , 90.35 , 174.18 , 94.25 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,4.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-4.29%,-9.98%,24.47%,,946.13%,946.13%,-9.98%
,,,,,,OPM,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
