MANAKSIA ALUMINIUM COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 177.24 , 297.43 , 265.52 , 238.40 , 227.91 , 251.07 , 251.07 , 206.59 
Expenses, -   , -   , -   , -   , -   , 166.53 , 293.05 , 259.88 , 234.31 , 215.75 , 234.74 , 234.74 , 200.41 
Operating Profit, -   , -   , -   , -   , -   , 10.71 , 4.38 , 5.64 , 4.09 , 12.16 , 16.33 , 16.33 , 6.18 
Other Income, -   , -   , -   , -   , -   , 0.91 , 0.62 , 0.18 , 2.63 , 1.83 , 1.11 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 3.33 , 6.04 , 5.34 , 5.21 , 5.03 , 4.98 , 4.98 , 4.98 
Interest, -   , -   , -   , -   , -   , 3.81 , 6.36 , 6.86 , 7.10 , 6.90 , 8.50 , 8.50 , 8.50 
Profit before tax, -   , -   , -   , -   , -   , 4.47 , (7.39), (6.40), (5.60), 2.06 , 3.96 , 2.85 , (7.30)
Tax, -   , -   , -   , -   , -   , 1.96 , (1.14), (1.36), (0.25), 0.82 , (0.82),-21%,-21%
Net profit, -   , -   , -   , -   , -   , 2.51 , (6.24), (5.04), (5.35), 1.24 , 4.78 , 3.44 , (8.81)
EPS, -   , -   , -   , -   , -   , 50.20 , (0.95), (0.77), (0.82), 0.19 , 0.73 , 0.52 , (1.34)
Price to earning,  ,  ,  ,  ,  ,  , (10.90), (4.19), (7.97), 56.06 , 9.19 , 32.62 , 9.19 
Price, -   , -   , -   , -   , -   , -   , 10.38 , 3.22 , 6.51 , 10.61 , 6.70 , 17.12 , (12.35)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,6.04%,1.47%,2.12%,1.72%,5.34%,6.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,-8.49%,10.16%,10.16%,-8.49%
,,,,,,OPM,3.07%,3.07%,3.07%,2.99%,6.50%,6.50%,2.99%
,,,,,,Price to Earning, 32.62 , 32.62 , 32.62 , 32.62 , 9.19 , 32.62 , 9.19 
