FUTURE RETAIL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 532.81 ," 1,398.66 "," 1,398.66 ", 8.70 , 94.36 , 100.40 
Reserves, -   , -   , -   , -   ," (1,522.44)"," (1,441.05)"," (1,820.26)"," 1,865.27 "," 2,453.35 "," 2,995.87 "
Borrowings, -   , -   , -   , -   , 627.04 , 183.00 , 390.40 ," 1,122.40 "," 1,078.73 "," 1,286.41 "
Other Liabilities, -   , -   , -   , -   , 858.30 , 376.60 , 489.50 ," 2,589.08 "," 3,311.09 "," 3,811.80 "
Total, -   , -   , -   , -   , 495.71 , 517.21 , 458.30 ," 5,585.45 "," 6,937.53 "," 8,194.48 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 183.94 , 143.48 , 134.54 , 260.93 , 553.78 ," 1,018.56 "
Capital Work in Progress, -   , -   , -   , -   , 38.99 , 46.71 , 43.40 , -   , 11.85 , 33.58 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 
Other Assets, -   , -   , -   , -   , 272.78 , 327.02 , 280.36 ," 5,324.52 "," 6,371.90 "," 7,142.33 "
Total, -   , -   , -   , -   , 495.71 , 517.21 , 458.30 ," 5,585.45 "," 6,937.53 "," 8,194.48 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , (585.52), (49.58), (209.14)," 2,735.44 "," 3,060.81 "," 3,330.53 "
Debtors, -   , -   , -   , -   , 0.54 , 0.58 , 0.44 , 114.87 , 228.06 , 270.10 
Inventory, -   , -   , -   , -   , 156.41 , 223.52 , 216.15 ," 3,297.24 "," 3,735.16 "," 4,417.41 "
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 0.12 , 0.09 , 0.09 , 6.13 , 4.63 , 4.90 
Inventory Turnover, -   , -   , -   , -   , 10.09 , 10.48 , 8.23 , 2.08 , 4.81 , 4.55 
,,,,,,,,,,
Return on Equity,,,,,,,,1%,14%,0%
Return on Capital Emp,,,,,,,-656%,4%,17%,5%
,,,,,,,,,,
