JK LAKSHMI CEMENT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,224.53 "," 1,490.50 "," 1,322.24 "," 1,718.10 "," 2,054.95 "," 2,056.60 "," 2,307.06 "," 2,619.85 "," 2,910.41 "," 3,412.15 "," 3,882.34 "," 4,000.39 "," 3,826.55 "
Expenses, 918.33 ," 1,068.78 "," 1,131.41 "," 1,390.13 "," 1,642.57 "," 1,773.14 "," 1,979.92 "," 2,358.56 "," 2,545.00 "," 3,000.79 "," 3,467.34 "," 3,536.01 "," 3,417.51 "
Operating Profit, 306.20 , 421.72 , 190.83 , 327.97 , 412.38 , 283.46 , 327.14 , 261.29 , 365.41 , 411.36 , 415.00 , 464.38 , 409.04 
Other Income, 39.10 , 44.16 , 33.05 , 63.40 , 55.45 , 44.27 , (12.73), 48.60 , 69.81 , 68.10 , 56.26 , -   , -   
Depreciation, 69.11 , 80.03 , 84.61 , 168.97 , 148.93 , 135.17 , 111.90 , 162.88 , 172.37 , 179.27 , 179.39 , 179.39 , 179.39 
Interest, 49.51 , 54.98 , 60.48 , 79.66 , 83.54 , 77.19 , 90.74 , 196.69 , 188.65 , 197.48 , 187.44 , 187.44 , 187.44 
Profit before tax, 226.68 , 330.87 , 78.79 , 142.74 , 235.36 , 115.37 , 111.77 , (49.68), 74.20 , 102.71 , 104.43 , 97.55 , 42.21 
Tax, 48.09 , 89.74 , 19.66 , 33.96 , 59.62 , 22.37 , 16.17 , (43.12), (7.80), 18.75 , 24.87 ,24%,24%
Net profit, 178.59 , 241.13 , 59.13 , 108.78 , 175.74 , 93.00 , 95.60 , (6.56), 82.00 , 83.96 , 79.56 , 74.32 , 32.15 
EPS, 14.59 , 19.71 , 4.83 , 8.89 , 14.93 , 7.90 , 8.12 , (0.56), 6.97 , 7.14 , 6.76 , 6.32 , 2.73 
Price to earning, 1.94 , 3.78 , 11.05 , 7.42 , 6.24 , 15.23 , 44.42 , (623.13), 66.36 , 59.52 , 58.14 , 61.34 , 27.41 
Price, 28.28 , 74.52 , 53.36 , 65.93 , 93.24 , 120.38 , 360.92 , 347.39 , 462.44 , 424.68 , 393.10 , 387.39 , 74.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,13.71%,12.69%,25.88%,22.50%,16.75%,25.31%,24.62%,0.00%,10.77%,10.52%,,,
OPM,25.01%,28.29%,14.43%,19.09%,20.07%,13.78%,14.18%,9.97%,12.56%,12.06%,10.69%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.06%,14.50%,10.67%,13.93%,17.24%,17.24%,10.67%
,,,,,,OPM,15.66%,13.99%,12.39%,11.61%,10.69%,11.61%,10.69%
,,,,,,Price to Earning, 27.41 , 36.76 , 48.73 , 61.34 , 58.14 , 61.34 , 27.41 
