INDOSTAR CAPITAL FINANCE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 715.54 , 830.47 ," 1,177.16 "," 1,177.16 "," 1,321.89 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 81.38 , 139.73 , 206.48 , 168.36 , 231.87 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 634.16 , 690.74 , 970.68 ," 1,008.80 "," 1,090.02 "
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , (0.01), (0.94), -   , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 1.87 , 4.48 , 16.73 , 16.73 , 16.73 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 311.85 , 324.43 , 561.29 , 561.29 , 561.29 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 320.43 , 360.90 , 392.66 , 430.78 , 512.00 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 111.39 , 125.32 , 137.53 ,35%,35%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 209.04 , 235.58 , 255.13 , 279.90 , 332.67 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 26.68 , 29.94 , 27.65 , 30.34 , 36.06 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 14.41 , 14.41 , 14.41 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 398.45 , 437.13 , 519.55 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.63%,83.17%,82.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,41.75%,41.75%,41.75%
,,,,,,OPM,85.70%,85.70%,85.70%,85.70%,82.46%,85.70%,82.46%
,,,,,,Price to Earning, 14.41 , 14.41 , 14.41 , 14.41 , 14.41 , 14.41 , 14.41 
