L&T TECHNOLOGY SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 0.05 , 102.50 , 300.00 , 300.00 , 20.30 , 20.50 
Reserves, -   , -   , -   , -   , -   , (17.82), 6.74 , 789.40 ," 1,511.20 "," 1,944.80 "
Borrowings, -   , -   , -   , -   , -   , 48.69 , 155.38 , 112.70 , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , 504.54 ," 1,275.28 ", 673.10 , 702.30 , 723.10 
Total, -   , -   , -   , -   , 0.05 , 637.91 ," 1,737.40 "," 1,875.20 "," 2,233.80 "," 2,688.40 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 404.69 , 523.77 , 560.30 , 558.90 , 553.00 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 0.25 , 14.30 , 2.30 , 0.10 
Investments, -   , -   , -   , -   , -   , -   , 6.10 , 61.60 , 198.80 , 322.50 
Other Assets, -   , -   , -   , -   , 0.05 , 233.22 ," 1,207.28 "," 1,239.00 "," 1,473.80 "," 1,812.80 "
Total, -   , -   , -   , -   , 0.05 , 637.91 ," 1,737.40 "," 1,875.20 "," 2,233.80 "," 2,688.40 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 0.05 , (271.32), (68.00), 565.90 , 771.50 ," 1,089.70 "
Debtors, -   , -   , -   , -   , -   , 149.99 , 667.33 , 711.70 , 711.00 , 951.30 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 433.91 , 95.12 , 89.77 , 83.38 , 99.02 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,0%,7%,103%,40%,29%,25%
Return on Capital Emp,,,,,0%,22%,128%,67%,44%,39%
,,,,,,,,,,
