GENUS POWER INFRASTRUCTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.79 , 14.79 , 15.19 , 15.89 , 15.89 , 25.66 , 25.67 , 25.68 , 25.72 , 25.72 
Reserves, 258.14 , 282.50 , 352.59 , 429.71 , 472.04 , 408.11 , 461.59 , 629.77 , 678.77 , 722.71 
Borrowings, 317.37 , 248.12 , 300.19 , 323.34 , 285.39 , 311.02 , 360.56 , 232.73 , 220.60 , 239.62 
Other Liabilities, 149.25 , 192.51 , 196.10 , 193.40 , 159.03 , 138.12 , 204.26 , 183.51 , 171.42 , 355.09 
Total, 739.55 , 737.92 , 864.07 , 962.34 , 932.35 , 882.91 ," 1,052.08 "," 1,071.69 "," 1,096.51 "," 1,343.14 "
,,,,,,,,,,
Net Block, 66.54 , 69.09 , 75.65 , 83.64 , 98.31 , 99.34 , 130.37 , 138.32 , 163.53 , 166.69 
Capital Work in Progress, 0.62 , 1.50 , 10.42 , 19.15 , 17.50 , 20.15 , 0.59 , 2.10 , -   , 1.89 
Investments, 26.28 , 55.82 , 86.07 , 88.06 , 109.62 , 136.15 , 122.18 , 142.85 , 239.23 , 235.57 
Other Assets, 646.11 , 611.51 , 691.93 , 771.49 , 706.92 , 627.27 , 798.94 , 788.42 , 693.75 , 938.99 
Total, 739.55 , 737.92 , 864.07 , 962.34 , 932.35 , 882.91 ," 1,052.08 "," 1,071.69 "," 1,096.51 "," 1,343.14 "
,,,,,,,,,,
Working Capital, 496.86 , 419.00 , 495.83 , 578.09 , 547.89 , 489.15 , 594.68 , 604.91 , 522.33 , 583.90 
Debtors, 341.59 , 376.37 , 377.34 , 435.27 , 361.22 , 344.32 , 399.58 , 414.63 , 330.46 , 508.35 
Inventory, 114.91 , 91.11 , 107.20 , 90.19 , 97.05 , 86.59 , 155.98 , 117.57 , 116.04 , 195.64 
,,,,,,,,,,
Debtor Days, 224.02 , 210.10 , 192.85 , 225.20 , 202.11 , 164.17 , 159.40 , 176.36 , 187.77 , 222.20 
Inventory Turnover, 4.84 , 7.18 , 6.66 , 7.82 , 6.72 , 8.84 , 5.87 , 7.30 , 5.54 , 4.27 
,,,,,,,,,,
Return on Equity,5%,9%,17%,15%,9%,14%,11%,12%,8%,7%
Return on Capital Emp,,13%,19%,13%,12%,13%,13%,15%,11%,10%
,,,,,,,,,,
