GREAVES COTTON LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,040.80 "," 1,347.21 "," 1,252.17 "," 1,753.44 "," 1,873.29 "," 1,718.91 "," 1,688.70 "," 1,613.43 "," 1,634.26 "," 1,792.10 "," 1,987.82 "," 1,987.82 "," 1,774.56 "
Expenses, 926.18 ," 1,140.77 "," 1,058.84 "," 1,551.40 "," 1,635.25 "," 1,569.67 "," 1,496.35 "," 1,355.63 "," 1,406.09 "," 1,543.13 "," 1,715.72 "," 1,697.94 "," 1,551.66 "
Operating Profit, 114.62 , 206.44 , 193.33 , 202.04 , 238.04 , 149.24 , 192.35 , 257.80 , 228.17 , 248.97 , 272.10 , 289.88 , 222.90 
Other Income, 12.53 , 6.85 , 12.38 , 83.75 , 2.19 , 63.14 , (34.14), 81.47 , 66.54 , 94.27 , 26.39 , -   , -   
Depreciation, 25.18 , 27.03 , 20.98 , 31.73 , 38.96 , 43.47 , 47.10 , 45.39 , 46.66 , 52.35 , 48.83 , 48.83 , 48.83 
Interest, 22.16 , 12.91 , 1.05 , 3.48 , 1.12 , 4.64 , 2.37 , 1.01 , 0.81 , 0.81 , 3.33 , 3.33 , 3.33 
Profit before tax, 79.81 , 173.35 , 183.68 , 250.58 , 200.15 , 164.27 , 108.74 , 292.87 , 248.65 , 295.59 , 246.33 , 237.72 , 170.74 
Tax, 23.81 , 55.38 , 56.40 , 65.09 , 62.19 , 51.18 , 27.21 , 93.50 , 68.02 , 92.97 , 77.03 ,31%,31%
Net profit, 56.00 , 117.97 , 127.28 , 185.49 , 137.96 , 113.09 , 81.53 , 199.37 , 180.63 , 202.62 , 169.30 , 163.38 , 117.35 
EPS, 2.29 , 4.83 , 5.21 , 7.60 , 5.65 , 4.63 , 3.34 , 8.16 , 7.40 , 8.30 , 6.93 , 6.69 , 4.81 
Price to earning, 10.29 , 14.23 , 18.05 , 10.97 , 12.53 , 17.70 , 41.61 , 16.05 , 22.78 , 14.83 , 20.72 , 20.72 , 18.16 
Price, 23.61 , 68.76 , 94.08 , 83.36 , 70.76 , 81.99 , 138.92 , 131.05 , 168.51 , 123.01 , 143.65 , 138.63 , 87.27 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,34.89%,62.10%,28.78%,28.96%,28.32%,28.07%,74.88%,67.37%,74.36%,66.29%,,,
OPM,11.01%,15.32%,15.44%,11.52%,12.71%,8.68%,11.39%,15.98%,13.96%,13.89%,13.69%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.22%,5.25%,-0.88%,2.00%,10.92%,10.92%,-0.88%
,,,,,,OPM,12.92%,12.56%,12.74%,14.58%,13.69%,14.58%,12.56%
,,,,,,Price to Earning, 18.16 , 19.65 , 22.28 , 18.60 , 20.72 , 20.72 , 18.16 
