CASTEX TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Sep-13,Sep-14,Sep-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 777.57 , 974.05 ," 1,427.96 "," 1,873.05 "," 2,297.38 "," 2,989.69 "," 2,727.69 "," 1,018.30 "," 1,467.20 ", 525.22 , 452.10 , 452.10 , 334.19 
Expenses, 605.03 , 740.72 ," 1,033.39 "," 1,317.11 "," 1,590.61 "," 2,047.85 "," 2,008.33 ", 832.09 ," 1,241.15 ", 555.45 , 479.66 , 390.19 , 334.19 
Operating Profit, 172.54 , 233.33 , 394.57 , 555.94 , 706.77 , 941.84 , 719.36 , 186.21 , 226.05 , (30.23), (27.56), 61.91 , -   
Other Income, 19.76 , 54.83 , 8.49 , (0.35), 49.16 , 23.80 , (14.76), (371.18), (398.89), (658.53), (217.51), -   , -   
Depreciation, 70.13 , 96.22 , 125.56 , 146.96 , 212.45 , 247.50 , 349.84 , 239.17 , 526.51 , 474.83 , 506.72 , 506.72 , 506.72 
Interest, 43.32 , 83.04 , 114.77 , 182.95 , 242.62 , 357.43 , 592.64 , 410.12 , 806.73 , 642.51 , (6.32), (6.32), (6.32)
Profit before tax, 78.85 , 108.90 , 162.73 , 225.67 , 300.85 , 360.72 , (237.89), (834.27)," (1,506.09)"," (1,806.11)", (745.47), (438.49), (500.40)
Tax, 24.79 , 32.56 , 48.90 , 69.37 , 90.56 , 112.85 , (66.68), (218.46), (462.16), (0.02), 516.80 ,0%,0%
Net profit, 54.06 , 76.34 , 113.83 , 156.30 , 210.29 , 247.87 , (171.21), (615.80)," (1,043.93)"," (1,806.09)"," (1,262.27)", (438.49), (500.40)
EPS, 2.16 , 2.89 , 4.11 , 5.65 , 7.58 , 8.92 , (4.53), (16.29), (27.61), (47.76), (33.38), (11.60), (13.23)
Price to earning, 8.51 , 11.12 , 12.29 , 16.78 , 8.60 , 10.67 , (5.10), (0.34), (0.29), (0.08), -   , -   , -   
Price, 18.35 , 32.10 , 50.55 , 94.75 , 65.14 , 95.18 , 23.09 , 5.60 , 8.04 , 3.87 , 0.85 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.14%,6.62%,4.87%,1.77%,1.32%,1.12%,0.00%,0.00%,0.00%,0.00%,,,
OPM,22.19%,23.95%,27.63%,29.68%,30.76%,31.50%,26.37%,18.29%,15.41%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-4.27%,-13.31%,-25.56%,-42.25%,-13.92%,-13.92%,-42.25%
,,,,,,OPM,25.73%,25.86%,23.76%,13.69%,0.00%,13.69%,0.00%
,,,,,,Price to Earning, 11.33 , 12.02 , 10.67 ,  , -   , -   , -   
