HOV SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.51 , 12.49 , 12.49 , 12.49 , 12.49 , 12.50 , 12.51 , 12.53 , 12.53 , 12.54 
Reserves, 67.04 , 64.20 , 69.17 , 70.77 , 72.19 , 73.06 , 72.77 , 74.21 , 75.37 , 66.58 
Borrowings, -   , -   , -   , -   , 8.46 , 7.89 , 7.38 , 6.76 , 6.04 , 5.22 
Other Liabilities, 1.48 , 4.41 , 4.24 , 2.42 , 2.19 , 2.64 , 2.61 , 2.78 , 2.03 , 2.15 
Total, 81.03 , 81.10 , 85.90 , 85.68 , 95.33 , 96.09 , 95.27 , 96.28 , 95.97 , 86.49 
,,,,,,,,,,
Net Block, 2.05 , 1.64 , 1.41 , 1.26 , 1.08 , 1.05 , 0.57 , 0.41 , 9.76 , 9.64 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 70.61 , 70.61 , 70.62 , 65.55 , 73.68 , 76.16 , 75.97 , 75.78 , 66.08 , 66.08 
Other Assets, 8.37 , 8.85 , 13.87 , 18.87 , 20.57 , 18.88 , 18.73 , 20.09 , 20.13 , 10.77 
Total, 81.03 , 81.10 , 85.90 , 85.68 , 95.33 , 96.09 , 95.27 , 96.28 , 95.97 , 86.49 
,,,,,,,,,,
Working Capital, 6.89 , 4.44 , 9.63 , 16.45 , 18.38 , 16.24 , 16.12 , 17.31 , 18.10 , 8.62 
Debtors, 0.81 , 4.57 , 3.91 , 1.80 , 1.59 , 2.86 , 2.62 , 4.87 , 3.94 , 4.12 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 67.50 , 222.70 , 57.69 , 69.82 , 51.09 , 65.57 , 76.26 , 131.57 , 105.36 , 119.82 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,-2%,4%,20%,2%,2%,1%,0%,2%,1%,-11%
Return on Capital Emp,,4%,21%,3%,2%,2%,-1%,2%,2%,-9%
,,,,,,,,,,
