HIMADRI SPECIALITY CHEMICAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 31.85 , 38.57 , 38.57 , 38.57 , 38.57 , 38.57 , 38.57 , 41.84 , 41.84 , 41.84 
Reserves, 326.15 , 697.83 , 807.21 , 859.41 , 862.94 , 795.65 , 788.57 , 879.10 ," 1,036.26 "," 1,414.48 "
Borrowings, 344.67 , 414.25 , 848.66 ," 1,082.64 "," 1,242.49 "," 1,325.51 "," 1,088.64 ", 858.45 , 754.13 , 660.16 
Other Liabilities, 113.44 , 136.14 , 168.72 , 232.13 , 281.74 , 388.72 , 421.22 , 394.42 , 457.48 , 467.69 
Total, 816.11 ," 1,286.79 "," 1,863.16 "," 2,212.75 "," 2,425.74 "," 2,548.45 "," 2,337.00 "," 2,173.81 "," 2,289.71 "," 2,584.17 "
,,,,,,,,,,
Net Block, 264.36 , 575.40 , 562.14 , 785.47 , 849.06 ," 1,139.48 "," 1,147.62 "," 1,100.84 "," 1,102.97 "," 1,099.17 "
Capital Work in Progress, 256.18 , 44.20 , 286.06 , 271.87 , 315.97 , 55.93 , 10.19 , 27.33 , 9.36 , 17.68 
Investments, 2.00 , 201.20 , 261.52 , 271.24 , 156.95 , 248.11 , 102.98 , 132.68 , 166.83 , 353.24 
Other Assets, 293.57 , 465.99 , 753.44 , 884.17 ," 1,103.76 "," 1,104.93 "," 1,076.21 ", 912.96 ," 1,010.55 "," 1,114.08 "
Total, 816.11 ," 1,286.79 "," 1,863.16 "," 2,212.75 "," 2,425.74 "," 2,548.45 "," 2,337.00 "," 2,173.81 "," 2,289.71 "," 2,584.17 "
,,,,,,,,,,
Working Capital, 180.13 , 329.85 , 584.72 , 652.04 , 822.02 , 716.21 , 654.99 , 518.54 , 553.07 , 646.39 
Debtors, 74.85 , 134.84 , 156.41 , 238.44 , 241.20 , 353.22 , 315.66 , 199.87 , 215.61 , 269.89 
Inventory, 95.55 , 158.60 , 239.59 , 306.51 , 403.61 , 372.04 , 359.33 , 315.01 , 392.07 , 415.20 
,,,,,,,,,,
Debtor Days, 72.61 , 104.83 , 81.60 , 77.49 , 67.75 , 94.65 , 83.68 , 63.41 , 59.54 , 50.05 
Inventory Turnover, 3.94 , 2.96 , 2.92 , 3.66 , 3.22 , 3.66 , 3.83 , 3.65 , 3.37 , 4.74 
,,,,,,,,,,
Return on Equity,13%,15%,14%,7%,3%,-5%,-2%,-2%,8%,17%
Return on Capital Emp,,19%,12%,9%,5%,3%,4%,5%,11%,22%
,,,,,,,,,,
