DWARIKESH SUGAR INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 267.08 , 461.87 , 555.07 , 593.13 , 698.60 , 927.61 ," 1,128.38 ", 794.34 ," 1,190.40 "," 1,429.95 "," 1,084.12 "," 1,717.71 "," 1,519.01 "
Expenses, 218.01 , 337.37 , 492.09 , 518.58 , 604.63 , 868.86 ," 1,042.88 ", 686.13 , 917.05 ," 1,287.46 ", 955.05 ," 1,454.09 "," 1,338.17 "
Operating Profit, 49.07 , 124.50 , 62.98 , 74.55 , 93.97 , 58.75 , 85.50 , 108.21 , 273.35 , 142.49 , 129.07 , 263.62 , 180.85 
Other Income, 0.50 , 1.47 , 2.03 , 0.28 , 2.13 , 13.06 , 10.34 , 13.54 , 17.78 , 17.48 , 36.09 , -   , -   
Depreciation, 29.43 , 32.95 , 32.06 , 32.72 , 32.89 , 33.19 , 47.25 , 30.76 , 29.94 , 32.50 , 32.94 , 32.94 , 32.94 
Interest, 49.47 , 61.64 , 46.31 , 59.78 , 78.86 , 70.56 , 75.21 , 51.59 , 52.50 , 25.31 , 21.26 , 21.26 , 21.26 
Profit before tax, (29.33), 31.38 , (13.36), (17.67), (15.64), (31.92), (26.59), 39.40 , 208.71 , 102.16 , 110.96 , 209.42 , 126.65 
Tax, (4.55), 6.30 , (4.30), (4.51), (4.33), (12.56), (9.84), 0.43 , 52.61 , 0.71 , 15.85 ,14%,14%
Net profit, (24.78), 25.08 , (9.06), (13.16), (11.31), (19.36), (16.75), 38.97 , 156.10 , 101.45 , 95.11 , 179.50 , 108.56 
EPS, (1.52), 1.54 , (0.56), (0.81), (0.69), (1.19), (1.03), 2.39 , 8.29 , 5.39 , 5.05 , 9.53 , 5.77 
Price to earning, (3.39), 6.90 , (17.55), (4.87), (6.80), (1.64), (2.25), 8.18 , 5.54 , 4.72 , 5.92 , 6.09 , 5.92 
Price, 5.14 , 10.61 , 9.74 , 3.93 , 4.72 , 1.94 , 2.31 , 19.55 , 45.96 , 25.40 , 29.90 , 58.06 , 34.13 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,9.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,18.37%,26.96%,11.35%,12.57%,13.45%,6.33%,7.58%,13.62%,22.96%,9.96%,11.91%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,20.49%,14.47%,15.40%,8.22%,20.12%,20.12%,8.22%
,,,,,,OPM,13.34%,12.37%,12.22%,15.35%,11.91%,15.35%,11.91%
,,,,,,Price to Earning, 6.25 , 6.09 , 6.09 , 6.09 , 5.92 , 6.09 , 5.92 
