GSS INFOTECH LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 52.82 , 47.96 , 60.66 , 41.21 , 39.88 , 46.14 , 35.35 , 29.83 , 23.02 , 22.55 , 28.51 , 28.51 , 18.58 
Expenses, 30.46 , 31.48 , 48.09 , 63.13 , 34.94 , 47.26 , 24.60 , 24.84 , 23.27 , 19.14 , 19.49 , 19.49 , 16.70 
Operating Profit, 22.36 , 16.48 , 12.57 , (21.92), 4.94 , (1.12), 10.75 , 4.99 , (0.25), 3.41 , 9.02 , 9.02 , 1.88 
Other Income, 14.79 , 0.47 , 0.56 , 5.25 , (5.77), 6.06 , (134.49), 2.22 , (42.36), 0.01 , 0.97 , -   , -   
Depreciation, 0.73 , 2.06 , 5.75 , 5.00 , 1.34 , 1.20 , 1.25 , 1.07 , 0.28 , 0.15 , 0.18 , 0.18 , 0.18 
Interest, 0.10 , 0.07 , 0.25 , 0.83 , 2.65 , 2.63 , 1.70 , 1.47 , 0.85 , 0.28 , 0.11 , 0.11 , 0.11 
Profit before tax, 36.32 , 14.82 , 7.13 , (22.50), (4.80), 1.10 , (126.70), 4.66 , (43.37), 3.19 , 9.70 , 8.73 , 1.59 
Tax, (0.07), 1.02 , 1.89 , (7.00), 0.13 , (3.22), 8.08 , 0.26 , 6.31 , (1.29), (1.27),-13%,-13%
Net profit, 36.39 , 13.80 , 5.24 , (15.50), (4.94), 4.32 , (134.78), 4.41 , (49.68), 4.48 , 10.98 , 9.87 , 1.80 
EPS, 28.56 , 9.76 , 3.71 , (10.96), (3.49), 3.06 , (79.58), 2.60 , (29.33), 2.65 , 6.48 , 5.83 , 1.06 
Price to earning, 5.63 , 32.88 , 42.28 , (4.72), (9.39), 10.40 , (0.22), 9.96 , (0.90), 24.17 , 19.45 , 19.45 , 16.00 
Price, 160.80 , 321.01 , 156.73 , 51.70 , 32.82 , 31.78 , 17.72 , 25.93 , 26.34 , 63.93 , 126.10 , 113.39 , 16.99 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.25%,15.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,42.33%,34.36%,20.72%,0.00%,12.39%,0.00%,30.41%,16.73%,0.00%,15.12%,31.64%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-9.02%,-13.18%,-10.78%,-13.92%,26.43%,26.43%,-13.92%
,,,,,,OPM,18.90%,10.12%,12.21%,11.14%,31.64%,31.64%,10.12%
,,,,,,Price to Earning, 20.68 , 16.00 , 16.00 , 17.86 , 19.45 , 19.45 , 16.00 
