COROMANDEL INTERNATIONAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 9,374.98 "," 6,394.72 "," 7,639.26 "," 9,823.27 "," 8,560.24 "," 9,380.52 "," 11,285.26 "," 11,472.58 "," 10,020.96 "," 10,943.11 "," 13,203.85 "," 13,203.85 "," 10,808.30 "
Expenses," 8,718.77 "," 5,678.59 "," 6,544.82 "," 8,708.67 "," 7,823.49 "," 8,639.50 "," 10,429.11 "," 10,707.34 "," 9,038.93 "," 9,719.15 "," 11,766.43 "," 11,766.43 "," 9,878.46 "
Operating Profit, 656.21 , 716.13 ," 1,094.44 "," 1,114.60 ", 736.75 , 741.02 , 856.15 , 765.24 , 982.03 ," 1,223.96 "," 1,437.42 "," 1,437.42 ", 929.84 
Other Income, 292.82 , 126.91 , 42.05 , 27.84 , 64.79 , 46.35 , 48.92 , 90.38 , 53.38 , 54.06 , 12.52 , -   , -   
Depreciation, 56.13 , 59.23 , 61.74 , 56.16 , 58.54 , 82.03 , 103.31 , 105.55 , 99.88 , 97.06 , 113.25 , 113.25 , 113.25 
Interest, 84.72 , 75.37 , 86.29 , 116.51 , 176.67 , 210.96 , 209.32 , 220.91 , 223.67 , 178.44 , 250.82 , 250.82 , 250.82 
Profit before tax, 808.18 , 708.44 , 988.46 , 969.77 , 566.33 , 494.38 , 592.44 , 529.16 , 711.86 ," 1,002.52 "," 1,085.87 "," 1,073.35 ", 565.77 
Tax, 311.80 , 240.24 , 294.00 , 276.50 , 122.34 , 149.53 , 189.30 , 171.30 , 235.08 , 343.11 , 371.96 ,34%,34%
Net profit, 496.38 , 468.20 , 694.46 , 693.27 , 443.99 , 344.85 , 403.14 , 357.86 , 476.78 , 659.41 , 713.91 , 705.68 , 371.97 
EPS, 17.74 , 16.69 , 24.64 , 24.53 , 15.69 , 12.18 , 13.84 , 12.28 , 16.35 , 22.55 , 24.40 , 24.12 , 12.71 
Price to earning, 3.10 , 9.92 , 12.91 , 11.51 , 12.12 , 18.12 , 18.57 , 17.00 , 20.88 , 22.98 , 17.30 , 19.54 , 14.95 
Price, 55.00 , 165.56 , 318.21 , 282.33 , 190.05 , 220.60 , 256.99 , 208.84 , 341.31 , 518.23 , 422.10 , 471.31 , 190.02 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.18%,29.96%,28.40%,28.53%,28.69%,36.96%,32.52%,32.56%,30.59%,28.82%,,,
OPM,7.00%,11.20%,14.33%,11.35%,8.61%,7.90%,7.59%,6.67%,9.80%,11.18%,10.89%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.73%,5.27%,5.03%,-1.02%,20.66%,20.66%,-1.02%
,,,,,,OPM,9.36%,8.98%,8.60%,9.16%,10.89%,10.89%,8.60%
,,,,,,Price to Earning, 14.95 , 17.31 , 19.14 , 19.54 , 17.30 , 19.54 , 14.95 
