DALMIA BHARAT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 103.00 , 125.00 , 156.00 , 156.00 , 163.69 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 86.00 , 114.00 , 126.00 , 126.00 , 143.59 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 17.00 , 11.00 , 30.00 , 30.00 , 20.10 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 65.00 , 91.00 , 85.00 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 21.00 , 4.00 , 4.00 , 4.00 , 4.00 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 57.00 , 94.00 , 107.00 , 22.00 , 12.10 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 17.00 , 22.00 , 5.00 ,5%,5%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 40.00 , 72.00 , 102.00 , 20.97 , 11.54 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.25 , 1.08 , 0.59 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 222.68 , 222.68 , 222.68 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,170.05 ", 240.57 , 132.34 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.50%,8.80%,19.23%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,24.80%,24.80%,24.80%
,,,,,,OPM,12.28%,12.28%,12.28%,12.28%,19.23%,19.23%,12.28%
,,,,,,Price to Earning, 222.68 , 222.68 , 222.68 , 222.68 , 222.68 , 222.68 , 222.68 
