HEIDELBERGCEMENT INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 158.02 , 226.62 , 226.62 , 226.62 , 226.62 , 226.62 , 226.62 , 226.62 , 226.62 , 226.62 
Reserves, 369.82 , 496.10 , 556.63 , 588.96 , 620.02 , 606.74 , 644.94 , 668.31 , 740.33 , 819.78 
Borrowings, 10.00 , 2.00 , -   , 776.91 ," 1,030.82 "," 1,356.82 "," 1,298.64 "," 1,039.01 ", 705.31 , 619.23 
Other Liabilities, 366.06 , 383.29 , 459.19 , 582.52 , 596.70 , 728.70 , 794.14 , 887.91 , 959.92 ," 1,094.28 "
Total, 903.90 ," 1,108.01 "," 1,242.44 "," 2,175.01 "," 2,474.16 "," 2,918.88 "," 2,964.34 "," 2,821.85 "," 2,632.18 "," 2,759.91 "
,,,,,,,,,,
Net Block, 273.98 , 316.26 , 330.45 , 347.62 , 374.03 ," 1,787.32 "," 1,793.77 "," 1,901.19 "," 1,877.07 "," 1,806.03 "
Capital Work in Progress, 55.82 , 58.80 , 428.16 ," 1,054.41 "," 1,517.07 ", 166.98 , 127.42 , 56.05 , 6.29 , 8.07 
Investments, 0.12 , 0.12 , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 573.98 , 732.83 , 483.83 , 772.98 , 583.06 , 964.58 ," 1,043.15 ", 864.61 , 748.82 , 945.81 
Total, 903.90 ," 1,108.01 "," 1,242.44 "," 2,175.01 "," 2,474.16 "," 2,918.88 "," 2,964.34 "," 2,821.85 "," 2,632.18 "," 2,759.91 "
,,,,,,,,,,
Working Capital, 207.92 , 349.54 , 24.64 , 190.46 , (13.64), 235.88 , 249.01 , (23.30), (211.10), (148.47)
Debtors, 19.89 , 22.16 , 24.28 , 24.26 , 21.61 , 30.60 , 19.14 , 25.76 , 12.56 , 18.80 
Inventory, 71.07 , 64.54 , 71.15 , 110.68 , 165.04 , 198.92 , 191.00 , 178.21 , 139.64 , 126.89 
,,,,,,,,,,
Debtor Days, 9.52 , 8.64 , 10.24 , 8.96 , 9.07 , 9.24 , 3.42 , 5.70 , 2.71 , 3.68 
Inventory Turnover, 10.72 , 14.51 , 12.17 , 8.93 , 5.27 , 6.08 , 10.70 , 9.25 , 12.13 , 14.70 
,,,,,,,,,,
Return on Equity,24%,19%,8%,4%,4%,-5%,7%,4%,8%,13%
Return on Capital Emp,,28%,13%,4%,3%,1%,12%,7%,11%,17%
,,,,,,,,,,
