ICICI BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital," 1,113.29 "," 1,114.89 "," 1,151.82 "," 1,152.77 "," 1,153.64 "," 1,155.04 "," 1,159.66 "," 1,163.17 "," 1,165.11 "," 1,285.81 "
Reserves," 48,419.73 "," 50,503.48 "," 53,938.82 "," 59,250.09 "," 65,547.84 "," 72,051.71 "," 79,262.26 "," 88,565.72 "," 98,779.71 "," 1,03,867.56 "
Borrowings," 3,11,503.28 "," 2,96,280.17 "," 3,35,156.39 "," 3,95,664.87 "," 4,37,955.12 "," 4,86,672.72 "," 5,33,980.08 "," 5,96,233.08 "," 6,37,595.21 "," 7,43,833.83 "
Other Liabilities," 18,813.30 "," 15,968.29 "," 16,431.05 "," 33,428.58 "," 32,606.33 "," 37,002.84 "," 34,382.16 "," 37,894.13 "," 37,618.81 "," 33,672.46 "
Total," 3,79,849.60 "," 3,63,866.83 "," 4,06,678.08 "," 4,89,496.31 "," 5,37,262.93 "," 5,96,882.31 "," 6,48,784.16 "," 7,23,856.10 "," 7,75,158.84 "," 8,82,659.66 "
,,,,,,,,,,
Net Block," 3,801.62 "," 3,212.69 "," 4,744.26 "," 4,614.69 "," 4,647.06 "," 4,678.14 "," 4,725.52 "," 7,576.92 "," 7,805.21 "," 7,903.51 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments," 1,03,058.31 "," 1,20,892.80 "," 1,34,685.96 "," 1,59,560.04 "," 1,71,393.60 "," 1,77,021.82 "," 1,58,129.22 "," 1,60,411.80 "," 1,61,506.55 "," 2,02,994.18 "
Other Assets," 2,72,989.67 "," 2,39,761.34 "," 2,67,247.86 "," 3,25,321.58 "," 3,61,222.27 "," 4,15,182.35 "," 4,85,929.42 "," 5,55,867.38 "," 6,05,847.08 "," 6,71,761.97 "
Total," 3,79,849.60 "," 3,63,866.83 "," 4,06,678.08 "," 4,89,496.31 "," 5,37,262.93 "," 5,96,882.31 "," 6,48,784.16 "," 7,23,856.10 "," 7,75,158.84 "," 8,82,659.66 "
,,,,,,,,,,
Working Capital," 2,54,176.37 "," 2,23,793.05 "," 2,50,816.81 "," 2,91,893.00 "," 3,28,615.94 "," 3,78,179.51 "," 4,51,547.26 "," 5,17,973.25 "," 5,68,228.27 "," 6,38,089.51 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,8%,8%,9%,11%,12%,13%,14%,11%,10%,6%
Return on Capital Emp,,6%,6%,7%,8%,8%,8%,7%,6%,5%
,,,,,,,,,,
