KESAR ENTERPRISES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-08,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Dec-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 6.79 , 6.79 , 6.79 , 6.79 , 6.79 , 8.62 , 10.00 , 10.08 , 10.08 , 10.08 
Reserves, 28.48 , 35.17 , 22.30 , 25.19 , 237.34 , 221.76 , 93.93 , 40.85 , 146.94 , 93.37 
Borrowings, 170.98 , 164.21 , 261.35 , 206.83 , 348.51 , 430.91 , 338.32 , 314.23 , 323.93 , 341.84 
Other Liabilities, 65.62 , 79.53 , 55.36 , 52.10 , 141.93 , 152.69 , 156.31 , 187.14 , 118.45 , 154.81 
Total, 271.87 , 285.70 , 345.80 , 290.91 , 734.57 , 813.98 , 598.56 , 552.30 , 599.40 , 600.10 
,,,,,,,,,,
Net Block, 69.98 , 91.02 , 60.36 , 57.96 , 288.57 , 485.51 , 449.98 , 425.86 , 485.47 , 467.31 
Capital Work in Progress, 14.39 , 4.45 , 6.59 , 35.78 , 189.35 , 0.77 , 0.89 , 0.08 , 0.08 , 0.21 
Investments, 0.07 , 0.53 , 0.52 , 0.53 , 0.55 , 0.55 , 0.55 , 0.54 , 20.37 , 13.30 
Other Assets, 187.43 , 189.70 , 278.33 , 196.64 , 256.10 , 327.15 , 147.14 , 125.82 , 93.48 , 119.28 
Total, 271.87 , 285.70 , 345.80 , 290.91 , 734.57 , 813.98 , 598.56 , 552.30 , 599.40 , 600.10 
,,,,,,,,,,
Working Capital, 121.81 , 110.17 , 222.97 , 144.54 , 114.17 , 174.46 , (9.17), (61.32), (24.97), (35.53)
Debtors, 9.18 , 10.74 , 9.64 , 14.78 , 15.12 , 62.30 , 15.06 , 34.70 , 37.29 , 28.94 
Inventory, 148.22 , 147.26 , 229.50 , 141.42 , 193.92 , 219.52 , 83.62 , 75.82 , 24.90 , 80.40 
,,,,,,,,,,
Debtor Days, 15.09 , 17.81 , 17.52 , 14.75 , 19.39 , 67.56 , 12.58 , 39.84 , 36.49 , 33.74 
Inventory Turnover, 1.50 , 1.50 , 0.88 , 2.59 , 1.47 , 1.53 , 5.23 , 4.19 , 14.98 , 3.89 
,,,,,,,,,,
Return on Equity,11%,22%,15%,11%,-8%,-7%,-115%,-104%,4%,-45%
Return on Capital Emp,,13%,9%,8%,-1%,3%,-11%,-2%,11%,-1%
,,,,,,,,,,
