CEREBRA INTEGRATED TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.07 , 15.96 , 36.88 , 48.10 , 48.10 , 48.10 , 84.34 , 96.42 , 108.50 , 120.40 
Reserves, (3.32), (2.21), 15.08 , 36.38 , 39.95 , 40.82 , 41.58 , 43.18 , 46.63 , 94.96 
Borrowings, -   , -   , 0.19 , 0.14 , 0.10 , 0.09 , 25.28 , 13.41 , 0.54 , 0.13 
Other Liabilities, 29.48 , 31.23 , 42.38 , 84.48 , 12.51 , 51.63 , 32.12 , 4.80 , 141.28 , 95.98 
Total, 41.23 , 44.98 , 94.53 , 169.10 , 100.66 , 140.64 , 183.32 , 157.81 , 296.95 , 311.47 
,,,,,,,,,,
Net Block, 1.98 , 1.25 , 1.66 , 6.91 , 6.69 , 6.58 , 5.98 , 5.64 , 6.14 , 8.80 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 2.55 , -   
Investments, 0.04 , 0.04 , 4.53 , 7.54 , 4.46 , 4.46 , 4.43 , 0.97 , 0.15 , 14.48 
Other Assets, 39.21 , 43.69 , 88.34 , 154.65 , 89.51 , 129.60 , 172.91 , 151.20 , 288.11 , 288.19 
Total, 41.23 , 44.98 , 94.53 , 169.10 , 100.66 , 140.64 , 183.32 , 157.81 , 296.95 , 311.47 
,,,,,,,,,,
Working Capital, 9.73 , 12.46 , 45.96 , 70.17 , 77.00 , 77.97 , 140.79 , 146.40 , 146.83 , 192.21 
Debtors, 33.75 , 31.14 , 42.23 , 102.76 , 36.56 , 76.38 , 59.03 , 30.17 , 173.94 , 139.58 
Inventory, -   , -   , -   , 0.72 , 1.01 , 1.08 , 2.03 , 2.01 , 1.90 , 14.58 
,,,,,,,,,,
Debtor Days, 244.71 , 193.04 , 214.23 , 394.28 , 108.63 , 455.76 , 165.97 , 82.23 , 436.16 , 292.16 
Inventory Turnover, -   , -   , -   , 132.13 , 121.62 , 56.64 , 63.95 , 66.62 , 76.61 , 11.96 
,,,,,,,,,,
Return on Equity,12%,8%,2%,5%,4%,0%,-1%,1%,2%,6%
Return on Capital Emp,,11%,4%,7%,4%,0%,0%,1%,3%,11%
,,,,,,,,,,
