GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 134.72 , 399.99 , 326.21 , 390.73 , 554.32 , 644.50 , 611.47 , 573.46 , 602.97 , 723.04 
Cash from Investing Activity, 19.33 , (21.58), (79.39), (125.19), (377.24), (271.42), 330.69 , (151.58), (602.40), (446.45)
Cash from Financing Activity, (54.57), (29.59), (90.52), (248.06), (175.47), (222.70), (222.15), (285.59), (361.33), (363.40)
Net Cash Flow, 99.48 , 348.82 , 156.30 , 17.48 , 1.61 , 150.38 , 720.00 , 136.29 , (360.75), (86.81)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
