H.G. INFRA ENGINEERING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   ," 1,056.03 "," 1,392.73 "," 2,009.84 "," 2,009.84 "," 2,283.28 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 931.33 ," 1,184.52 "," 1,706.62 "," 1,706.62 "," 1,972.87 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 124.70 , 208.21 , 303.22 , 303.22 , 310.41 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 3.15 , 4.54 , 11.51 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 25.60 , 53.92 , 75.46 , 75.46 , 75.46 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 18.88 , 40.06 , 49.03 , 49.03 , 49.03 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 83.38 , 118.76 , 190.24 , 178.73 , 185.92 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 29.96 , 34.49 , 66.68 ,35%,35%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 53.42 , 84.26 , 123.57 , 116.08 , 120.76 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 29.64 , 12.93 , 18.96 , 17.81 , 18.53 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 25.58 , 15.28 , 20.43 , 15.28 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 330.78 , 289.70 , 363.93 , 283.10 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.87%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.81%,14.95%,15.09%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,44.31%,44.31%,44.31%
,,,,,,OPM,13.60%,13.60%,13.60%,13.60%,15.09%,15.09%,13.60%
,,,,,,Price to Earning, 20.43 , 20.43 , 20.43 , 20.43 , 15.28 , 20.43 , 15.28 
