BF INVESTMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 
Reserves, -   , 542.55 , 555.81 , 599.31 , 625.68 , 645.62 , 664.38 , 685.91 , 703.74 , 723.54 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , 8.01 , 6.23 , 5.98 , 2.10 , 1.01 , 0.78 , 0.87 , 0.71 , 0.79 
Total, -   , 569.39 , 580.87 , 624.12 , 646.61 , 665.46 , 683.99 , 705.61 , 723.28 , 743.16 
,,,,,,,,,,
Net Block, -   , 0.58 , 1.25 , 11.10 , 0.82 , 1.72 , 2.23 , 2.32 , 14.85 , 14.44 
Capital Work in Progress, -   , 0.26 , -   , -   , 1.36 , -   , -   , -   , -   , -   
Investments, -   , 341.92 , 372.13 , 407.02 , 487.39 , 506.11 , 515.22 , 538.88 , 538.48 , 559.13 
Other Assets, -   , 226.63 , 207.49 , 206.00 , 157.04 , 157.63 , 166.54 , 164.41 , 169.95 , 169.59 
Total, -   , 569.39 , 580.87 , 624.12 , 646.61 , 665.46 , 683.99 , 705.61 , 723.28 , 743.16 
,,,,,,,,,,
Working Capital, -   , 218.62 , 201.26 , 200.02 , 154.94 , 156.62 , 165.76 , 163.54 , 169.24 , 168.80 
Debtors, -   , -   , -   , 0.15 , -   , -   , -   , -   , -   , -   
Inventory, -   , 10.29 , 10.29 , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , 1.08 , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , 6.92 , 4.07 , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,9%,2%,7%,4%,3%,3%,3%,2%,3%
Return on Capital Emp,,21%,4%,9%,5%,3%,3%,3%,2%,3%
,,,,,,,,,,
