DIGJAM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 132.47 , 94.73 , 97.33 , 58.12 , 14.15 , 44.16 , 52.42 
Expenses, -   , -   , -   , -   , -   , -   , 134.41 , 94.51 , 102.74 , 75.15 , 38.29 , 44.12 , 52.42 
Operating Profit, -   , -   , -   , -   , -   , -   , (1.94), 0.22 , (5.41), (17.03), (24.14), 0.04 , -   
Other Income, -   , -   , -   , -   , -   , -   , 3.71 , 0.68 , 0.16 , 1.03 , 0.86 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 4.04 , 2.17 , 2.83 , 2.75 , 2.66 , 2.66 , 2.66 
Interest, -   , -   , -   , -   , -   , -   , 12.35 , 8.59 , 13.52 , 14.14 , 15.09 , 15.09 , 15.09 
Profit before tax, -   , -   , -   , -   , -   , -   , (14.64), (9.86), (21.60), (32.90), (41.03), (17.71), (17.75)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, -   , -   , -   , -   , -   , -   , (14.64), (9.86), (21.60), (32.90), (41.03), (17.71), (17.75)
EPS, -   , -   , -   , -   , -   , -   , (1.67), -   , (2.46), (3.75), (4.68), (2.02), (2.02)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , (5.71), (2.80), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , 14.08 , 10.50 , 3.20 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,-24.01%,-40.29%,-24.01%,-40.29%
,,,,,,OPM,0.06%,0.06%,0.06%,0.09%,0.00%,0.09%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
