MANAKSIA STEELS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 212.52 , 329.28 , 289.33 , 334.00 , 493.50 , 646.04 , 729.17 , 586.78 
Expenses, -   , -   , -   , 0.02 , -   , 193.70 , 313.39 , 272.35 , 308.99 , 458.99 , 619.13 , 679.22 , 562.34 
Operating Profit, -   , -   , -   , (0.02), -   , 18.82 , 15.89 , 16.98 , 25.01 , 34.51 , 26.91 , 49.95 , 24.44 
Other Income, -   , -   , -   , -   , -   , 4.94 , 6.29 , 1.03 , 1.54 , 2.47 , 0.43 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 1.93 , 7.99 , 7.49 , 7.59 , 6.52 , 5.55 , 5.55 , 5.55 
Interest, -   , -   , -   , -   , -   , 6.39 , 3.07 , 2.32 , 4.43 , 3.92 , 3.52 , 3.52 , 3.52 
Profit before tax, -   , -   , -   , (0.02), -   , 15.43 , 11.13 , 8.21 , 14.54 , 26.54 , 18.27 , 40.88 , 15.37 
Tax, -   , -   , -   , -   , -   , 4.91 , 2.95 , 3.24 , 5.41 , 9.89 , 6.88 ,38%,38%
Net profit, -   , -   , -   , (0.02), -   , 10.52 , 8.18 , 4.98 , 9.14 , 16.66 , 11.39 , 25.48 , 9.58 
EPS, -   , -   , -   , (0.40), -   , 210.40 , 1.25 , 0.76 , 1.39 , 2.54 , 1.74 , 3.89 , 1.46 
Price to earning,  ,  ,  ,  ,  ,  , 13.07 , 10.24 , 11.90 , 12.79 , 11.57 , 11.63 , 11.57 
Price, -   , -   , -   , -   , -   , -   , 16.32 , 7.78 , 16.60 , 32.52 , 20.10 , 45.20 , 16.91 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,8.86%,4.83%,5.87%,7.49%,6.99%,4.17%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,14.44%,47.75%,47.75%,14.44%
,,,,,,OPM,6.70%,6.70%,6.70%,6.85%,4.17%,6.85%,4.17%
,,,,,,Price to Earning, 11.92 , 11.92 , 11.92 , 11.63 , 11.57 , 11.63 , 11.57 
