ADANI TRANSMISSION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 22.92 , 274.45 , 809.65 , 835.29 , 798.40 ," 2,769.35 ", 860.57 
Expenses, -   , -   , -   , -   , -   , -   , 22.59 , 208.31 , 784.63 , 840.71 , 802.57 ," 2,637.82 ", 860.57 
Operating Profit, -   , -   , -   , -   , -   , -   , 0.33 , 66.14 , 25.02 , (5.42), (4.17), 131.53 , -   
Other Income, -   , -   , -   , -   , -   , -   , 0.91 , 146.93 , 798.65 , 775.03 , 832.47 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 0.03 , 0.05 , 0.08 , 0.10 , 0.10 , 0.10 
Interest, -   , -   , -   , -   , -   , -   , 19.18 , 269.58 , 818.74 , 794.16 , 743.77 , 743.77 , 743.77 
Profit before tax, -   , -   , -   , -   , -   , -   , (17.94), (56.54), 4.88 , (24.63), 84.43 , (612.34), (743.87)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 1.03 , -   , 12.98 ,15%,15%
Net profit, -   , -   , -   , -   , -   , -   , (17.94), (56.54), 3.85 , (24.63), 71.45 , (518.20), (629.51)
EPS, -   , -   , -   , -   , -   , -   , (0.16), (0.51), 0.04 , (0.22), 0.65 , (4.71), (5.72)
Price to earning,  ,  ,  ,  ,  ,  ,  , (65.59)," 2,294.79 ", (788.07), 342.64 ," 1,318.72 ", 342.64 
Price, -   , -   , -   , -   , -   , -   , -   , 33.72 , 80.33 , 176.49 , 222.60 ," (6,213.46)"," (1,961.22)"
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.44%,24.10%,3.09%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,231.54%,3.17%,231.54%,3.17%
,,,,,,OPM,4.71%,4.71%,4.71%,4.75%,0.00%,4.75%,0.00%
,,,,,,Price to Earning," 1,318.72 "," 1,318.72 "," 1,318.72 "," 1,318.72 ", 342.64 ," 1,318.72 ", 342.64 
