LINDE INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales, 804.06 , 985.75 ," 1,153.08 "," 1,324.44 "," 1,428.46 "," 1,491.35 "," 1,566.63 "," 1,825.31 "," 2,033.06 "," 2,191.65 "," 2,105.10 "," 2,451.17 "," 2,355.86 "
Expenses, 684.94 , 818.56 , 920.11 ," 1,121.30 "," 1,166.96 "," 1,214.35 "," 1,346.48 "," 1,538.59 "," 1,705.38 "," 1,865.28 "," 1,738.58 "," 2,024.39 "," 1,989.53 "
Operating Profit, 119.12 , 167.19 , 232.97 , 203.14 , 261.50 , 277.00 , 220.15 , 286.72 , 327.68 , 326.37 , 366.52 , 426.77 , 366.33 
Other Income, 18.58 , 21.73 , 13.23 , 75.29 , 58.61 , 10.81 , 31.81 , 34.47 , 11.20 , 22.63 , 20.32 , -   , -   
Depreciation, 47.19 , 58.89 , 70.82 , 112.52 , 129.04 , 181.35 , 161.53 , 195.40 , 206.26 , 199.14 , 189.94 , 189.94 , 189.94 
Interest, 0.25 , 0.46 , 0.53 , 40.42 , 74.45 , 102.87 , 89.88 , 115.57 , 116.47 , 102.70 , 99.48 , 99.48 , 99.48 
Profit before tax, 90.26 , 129.57 , 174.85 , 125.50 , 116.61 , 3.57 , 0.55 , 10.21 , 16.15 , 47.17 , 97.42 , 137.35 , 76.91 
Tax, 37.02 , 35.94 , 53.19 , 36.02 , 39.28 , (1.82), (22.90), (3.20), (2.78), 13.69 , 30.75 ,32%,32%
Net profit, 53.24 , 93.63 , 121.66 , 89.48 , 77.33 , 5.40 , 23.46 , 13.41 , 18.94 , 33.49 , 66.68 , 94.00 , 52.64 
EPS, 6.24 , 10.98 , 14.26 , 10.49 , 9.07 , 0.63 , 2.75 , 1.57 , 2.22 , 3.93 , 7.82 , 11.02 , 6.17 
Price to earning, 31.98 , 29.58 , 21.02 , 35.97 , 33.33 , 693.65 , 107.18 , 226.75 , 244.65 , 171.03 , 75.95 , 179.59 , 75.95 
Price, 199.66 , 324.73 , 299.88 , 377.38 , 302.24 , 439.19 , 294.82 , 356.53 , 543.30 , 671.59 , 593.85 ," 1,979.55 ", 468.77 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,24.02%,13.66%,10.51%,14.29%,16.54%,236.85%,27.28%,47.73%,45.04%,38.19%,,,
OPM,14.81%,16.96%,20.20%,15.34%,18.31%,18.57%,14.05%,15.71%,16.12%,14.89%,17.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.79%,9.61%,8.94%,11.84%,7.80%,11.84%,7.80%
,,,,,,OPM,16.36%,16.04%,15.79%,15.55%,17.41%,17.41%,15.55%
,,,,,,Price to Earning, 151.92 , 198.56 , 253.20 , 179.59 , 75.95 , 179.59 , 75.95 
