KM SUGAR MILLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 312.97 , 151.11 , 178.24 , 287.07 , 254.56 , 272.59 , 550.45 , 345.56 , 336.19 , 462.77 , 434.91 , 637.01 , 438.33 
Expenses, 300.00 , 122.05 , 178.16 , 274.33 , 237.21 , 240.43 , 520.14 , 322.83 , 290.15 , 445.57 , 415.08 , 589.16 , 418.34 
Operating Profit, 12.97 , 29.06 , 0.08 , 12.74 , 17.35 , 32.16 , 30.31 , 22.73 , 46.04 , 17.20 , 19.83 , 47.85 , 19.99 
Other Income, 2.77 , 3.24 , 2.12 , 3.44 , 1.84 , 2.54 , 7.11 , 6.07 , 10.67 , 36.76 , 25.03 , -   , -   
Depreciation, 16.05 , 15.81 , 13.59 , 12.29 , 10.34 , 9.01 , 14.26 , 9.30 , 9.74 , 13.45 , 13.03 , 13.03 , 13.03 
Interest, 10.69 , 12.27 , 13.33 , 14.68 , 14.47 , 12.89 , 14.14 , 16.85 , 9.73 , 11.21 , 6.36 , 6.36 , 6.36 
Profit before tax, (11.00), 4.22 , (24.72), (10.79), (5.62), 12.80 , 9.02 , 9.96 , 37.24 , 29.32 , 25.47 , 28.46 , 0.60 
Tax, 1.15 , -   , (6.43), 0.47 , 0.62 , 0.19 , 1.52 , (1.72), 0.13 , 10.46 , 5.56 ,22%,22%
Net profit, (12.15), 4.22 , (18.29), (11.26), (6.24), 12.60 , 7.49 , 11.69 , 37.11 , 18.87 , 19.91 , 22.25 , 0.47 
EPS, (1.32), 0.46 , (1.99), (1.22), (0.68), 1.37 , 0.81 , 1.27 , 4.03 , 2.05 , 2.16 , 2.42 , 0.05 
Price to earning, (2.23), 9.38 , (2.96), (2.13), (3.58), 0.85 , 3.23 , 5.27 , 6.88 , 5.49 , 4.23 , 5.47 , 4.23 
Price, 2.94 , 4.30 , 5.89 , 2.61 , 2.43 , 1.17 , 2.63 , 6.70 , 27.74 , 11.25 , 9.15 , 13.22 , 0.21 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,4.14%,19.23%,0.04%,4.44%,6.82%,11.80%,5.51%,6.58%,13.69%,3.72%,4.56%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.44%,14.60%,12.70%,-5.62%,37.65%,37.65%,-5.62%
,,,,,,OPM,7.00%,7.12%,7.54%,7.51%,4.56%,7.51%,4.56%
,,,,,,Price to Earning, 5.05 , 4.33 , 4.33 , 5.47 , 4.23 , 5.47 , 4.23 
