KAKATIYA CEMENT SUGAR & INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 170.16 , 123.44 , 100.78 , 169.06 , 184.32 , 200.53 , 154.61 , 210.36 , 220.12 , 150.88 , 110.61 , 149.66 , 121.36 
Expenses, 142.05 , 102.48 , 91.46 , 136.17 , 170.40 , 186.47 , 136.45 , 182.52 , 178.86 , 149.55 , 111.68 , 131.53 , 121.36 
Operating Profit, 28.11 , 20.96 , 9.32 , 32.89 , 13.92 , 14.06 , 18.16 , 27.84 , 41.26 , 1.33 , (1.07), 18.13 , -   
Other Income, 1.93 , 2.74 , 2.31 , 3.92 , 2.97 , 2.72 , 2.60 , 6.06 , 8.07 , 18.17 , 12.84 , -   , -   
Depreciation, 7.82 , 8.04 , 7.43 , 7.36 , 7.30 , 7.14 , 2.47 , 2.48 , 2.36 , 2.18 , 2.42 , 2.42 , 2.42 
Interest, 3.41 , 0.87 , 0.34 , 0.10 , 0.06 , 0.46 , 0.81 , 1.60 , 1.71 , 2.50 , 5.66 , 5.66 , 5.66 
Profit before tax, 27.11 , 14.79 , 3.86 , 29.35 , 23.88 , 9.18 , 17.47 , 29.80 , 45.26 , 14.82 , 3.69 , 10.05 , (8.08)
Tax, 6.01 , 3.60 , (0.05), 8.80 , 7.77 , 0.34 , 3.36 , 7.62 , 16.43 , 4.34 , (1.45),-39%,-39%
Net profit, 21.10 , 11.19 , 3.91 , 20.55 , 16.11 , 8.84 , 14.11 , 22.18 , 28.83 , 10.48 , 5.16 , 14.00 , (11.26)
EPS, 27.14 , 14.39 , 5.03 , 26.43 , 20.72 , 11.37 , 18.15 , 28.53 , 37.09 , 13.48 , 6.64 , 18.02 , (14.49)
Price to earning, 2.51 , 6.22 , 14.58 , 3.02 , 3.49 , 7.27 , 6.64 , 9.95 , 9.41 , 20.58 , 30.66 , 30.66 , 10.39 
Price, 68.24 , 89.59 , 73.35 , 79.76 , 72.27 , 82.65 , 120.47 , 283.76 , 349.01 , 277.48 , 203.60 , 552.40 , (150.55)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,9.95%,18.77%,53.71%,10.22%,13.04%,23.76%,14.88%,9.47%,8.08%,22.23%,,,
OPM,16.52%,16.98%,9.25%,19.45%,7.55%,7.01%,11.75%,13.23%,18.74%,0.88%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.33%,5.93%,-3.92%,-0.81%,-26.69%,-0.81%,-26.69%
,,,,,,OPM,12.34%,11.59%,10.96%,12.11%,0.00%,12.11%,0.00%
,,,,,,Price to Earning, 10.39 , 11.38 , 14.08 , 17.65 , 30.66 , 30.66 , 10.39 
