INDO TECH TRANSFORMERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 
Reserves, 135.74 , 127.35 , 104.46 , 64.47 , 14.30 , (4.50), 140.23 , 144.25 , 127.57 , 123.48 
Borrowings, 15.21 , 9.63 , 10.25 , 53.07 , 80.67 , 125.42 , -   , -   , -   , -   
Other Liabilities, 43.23 , 33.19 , 40.98 , 55.96 , 63.03 , 61.21 , 65.18 , 66.81 , 70.96 , 81.72 
Total, 204.80 , 180.79 , 166.31 , 184.12 , 168.62 , 192.75 , 216.03 , 221.68 , 209.15 , 215.82 
,,,,,,,,,,
Net Block, 77.30 , 79.40 , 76.61 , 77.32 , 73.48 , 70.72 , 66.48 , 62.19 , 54.31 , 50.42 
Capital Work in Progress, 4.82 , -   , 4.69 , 1.24 , 1.54 , 1.24 , 0.17 , 0.06 , 0.36 , 0.21 
Investments, 48.97 , 1.41 , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 73.71 , 99.98 , 85.01 , 105.56 , 93.60 , 120.79 , 149.38 , 159.43 , 154.48 , 165.19 
Total, 204.80 , 180.79 , 166.31 , 184.12 , 168.62 , 192.75 , 216.03 , 221.68 , 209.15 , 215.82 
,,,,,,,,,,
Working Capital, 30.48 , 66.79 , 44.03 , 49.60 , 30.57 , 59.58 , 84.20 , 92.62 , 83.52 , 83.47 
Debtors, 38.26 , 28.13 , 28.67 , 34.10 , 34.59 , 44.31 , 51.91 , 64.61 , 59.40 , 79.49 
Inventory, 13.34 , 22.23 , 26.88 , 25.88 , 34.38 , 33.27 , 41.24 , 36.50 , 48.83 , 43.62 
,,,,,,,,,,
Debtor Days, 67.28 , 104.81 , 92.75 , 108.53 , 110.68 , 172.31 , 120.75 , 124.20 , 145.70 , 131.78 
Inventory Turnover, 15.56 , 4.41 , 4.20 , 4.43 , 3.32 , 2.82 , 3.80 , 5.20 , 3.05 , 5.05 
,,,,,,,,,,
Return on Equity,27%,-6%,-20%,-53%,-201%,-307%,-2%,3%,-8%,-3%
Return on Capital Emp,,-6%,-16%,-28%,-36%,-6%,1%,4%,-4%,-1%
,,,,,,,,,,
