KELLTON TECH SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 9.23 , 9.23 , 9.24 , 17.74 , 17.74 , 20.69 , 21.74 , 23.41 , 23.57 , 48.19 
Reserves, (2.38), (2.19), (5.84), 2.47 , 5.13 , 15.44 , 23.43 , 55.84 , 66.02 , 55.02 
Borrowings, -   , -   , -   , 1.58 , 5.88 , 7.31 , 10.16 , 8.71 , 21.96 , 30.89 
Other Liabilities, 0.53 , 0.59 , 0.67 , 4.26 , 7.77 , 4.87 , 20.86 , 13.90 , 52.27 , 57.94 
Total, 7.38 , 7.63 , 4.07 , 26.05 , 36.52 , 48.31 , 76.19 , 101.86 , 163.82 , 192.04 
,,,,,,,,,,
Net Block, 0.98 , 0.79 , 0.60 , 10.83 , 11.76 , 12.92 , 15.40 , 15.55 , 18.12 , 18.46 
Capital Work in Progress, -   , -   , -   , -   , -   , 0.15 , 0.15 , 0.72 , 1.02 , -   
Investments, 5.50 , 1.96 , 1.81 , 10.49 , 14.54 , 17.62 , 25.90 , 40.70 , 59.41 , 70.14 
Other Assets, 0.90 , 4.88 , 1.66 , 4.73 , 10.22 , 17.62 , 34.74 , 44.89 , 85.27 , 103.44 
Total, 7.38 , 7.63 , 4.07 , 26.05 , 36.52 , 48.31 , 76.19 , 101.86 , 163.82 , 192.04 
,,,,,,,,,,
Working Capital, 0.37 , 4.29 , 0.99 , 0.47 , 2.45 , 12.75 , 13.88 , 30.99 , 33.00 , 45.50 
Debtors, 0.37 , 4.47 , 1.41 , 3.30 , 4.33 , 5.72 , 12.72 , 17.90 , 22.35 , 49.06 
Inventory, -   , -   , -   , -   , -   , 0.62 , 0.47 , 3.32 , 2.39 , 2.42 
,,,,,,,,,,
Debtor Days, 150.06 ," 1,735.69 ", 768.13 , 85.18 , 108.85 , 61.70 , 116.36 , 133.94 , 106.64 , 146.13 
Inventory Turnover, -   , -   , -   , -   , -   , 54.58 , 84.89 , 14.69 , 32.01 , 50.64 
,,,,,,,,,,
Return on Equity,-18%,3%,-107%,13%,12%,11%,14%,8%,9%,10%
Return on Capital Emp,,3%,-69%,22%,14%,16%,17%,15%,14%,15%
,,,,,,,,,,
