EIH LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 894.10 , 774.13 ," 1,027.51 "," 1,116.67 "," 1,133.77 "," 1,238.59 "," 1,335.08 "," 1,419.75 "," 1,277.55 "," 1,350.28 "," 1,543.73 "," 1,543.73 "," 1,356.12 "
Expenses, 665.89 , 647.20 , 834.62 , 870.84 , 925.91 ," 1,006.73 "," 1,066.77 "," 1,172.78 "," 1,083.57 "," 1,130.26 "," 1,227.60 "," 1,227.60 "," 1,134.66 "
Operating Profit, 228.21 , 126.93 , 192.89 , 245.83 , 207.86 , 231.86 , 268.31 , 246.97 , 193.98 , 220.02 , 316.13 , 316.13 , 221.45 
Other Income, 181.39 , 130.56 , 135.23 , 56.69 , 9.73 , 52.74 , 37.63 , 54.21 , 58.88 , 82.39 , 87.75 , -   , -   
Depreciation, 54.24 , 68.03 , 87.44 , 93.11 , 100.75 , 99.18 , 124.08 , 113.55 , 110.49 , 108.97 , 123.12 , 123.12 , 123.12 
Interest, 82.50 , 100.88 , 155.19 , 54.41 , 45.01 , 40.65 , 30.61 , 22.74 , 14.50 , 19.57 , 46.57 , 46.57 , 46.57 
Profit before tax, 272.86 , 88.58 , 85.49 , 155.00 , 71.83 , 144.78 , 151.25 , 164.89 , 127.85 , 173.87 , 234.19 , 146.44 , 51.76 
Tax, 102.42 , 31.35 , 20.95 , 32.58 , 20.87 , 49.74 , 54.61 , 55.87 , 31.32 , 61.59 , 77.50 ,33%,33%
Net profit, 170.44 , 57.23 , 64.54 , 122.42 , 50.96 , 95.04 , 96.63 , 109.02 , 96.54 , 112.28 , 156.69 , 97.98 , 34.63 
EPS, 4.34 , 1.46 , 1.13 , 2.14 , 0.89 , 1.66 , 1.69 , 1.91 , 1.69 , 1.96 , 2.74 , 1.71 , 0.61 
Price to earning, 22.90 , 77.70 , 77.18 , 39.51 , 64.08 , 45.15 , 63.72 , 55.40 , 74.85 , 89.70 , 70.51 , 72.62 , 61.88 
Price, 99.33 , 113.16 , 87.15 , 84.63 , 57.13 , 75.07 , 107.73 , 105.66 , 126.43 , 176.21 , 193.30 , 124.48 , 37.50 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.66%,82.39%,79.70%,51.36%,100.94%,66.15%,65.06%,57.67%,53.28%,45.81%,,,
OPM,25.52%,16.40%,18.77%,22.01%,18.33%,18.72%,20.10%,17.40%,15.18%,16.29%,20.48%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.69%,3.98%,3.56%,0.38%,14.33%,14.33%,0.38%
,,,,,,OPM,18.70%,18.20%,17.54%,16.33%,20.48%,20.48%,16.33%
,,,,,,Price to Earning, 61.88 , 62.87 , 66.55 , 72.62 , 70.51 , 72.62 , 61.88 
