GENUS PAPER & BOARDS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 247.01 , 288.29 , 313.83 , 305.68 , 345.57 , 462.65 , 462.65 , 374.38 
Expenses, -   , -   , -   , -   , -   , 227.53 , 262.04 , 287.76 , 283.95 , 309.50 , 428.38 , 422.44 , 346.65 
Operating Profit, -   , -   , -   , -   , -   , 19.48 , 26.25 , 26.07 , 21.73 , 36.07 , 34.27 , 40.21 , 27.73 
Other Income, -   , -   , -   , -   , -   , 6.65 , 4.41 , 0.75 , 6.04 , 5.48 , 4.99 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 7.28 , 10.18 , 11.75 , 12.40 , 12.92 , 12.96 , 12.96 , 12.96 
Interest, -   , -   , -   , -   , -   , 5.68 , 6.19 , 6.36 , 5.92 , 6.08 , 9.65 , 9.65 , 9.65 
Profit before tax, -   , -   , -   , -   , -   , 13.16 , 14.29 , 8.71 , 9.47 , 22.55 , 16.65 , 17.60 , 5.12 
Tax, -   , -   , -   , -   , -   , 2.87 , 4.68 , 3.96 , 2.42 , 7.61 , 5.59 ,34%,34%
Net profit, -   , -   , -   , -   , -   , 10.30 , 9.60 , 4.75 , 7.04 , 14.94 , 11.05 , 11.69 , 3.40 
EPS, -   , -   , -   , -   , -   , 0.40 , 0.37 , 0.18 , 0.27 , 0.58 , 0.43 , 0.45 , 0.13 
Price to earning,  ,  ,  ,  ,  ,  , 4.75 , 24.64 , 18.78 , 22.18 , 17.22 , 20.70 , 17.22 
Price, -   , -   , -   , -   , -   , -   , 1.77 , 4.55 , 5.14 , 12.88 , 7.40 , 9.41 , 2.28 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,7.89%,9.11%,8.31%,7.11%,10.44%,7.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,6.23%,33.88%,33.88%,6.23%
,,,,,,OPM,8.64%,8.64%,8.64%,8.69%,7.41%,8.69%,7.41%
,,,,,,Price to Earning, 17.51 , 17.51 , 17.51 , 20.70 , 17.22 , 20.70 , 17.22 
