FUTURE LIFESTYLE FASHIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   ," 2,743.98 "," 3,134.09 "," 3,300.19 "," 3,864.84 "," 4,218.90 "," 5,377.41 "," 5,377.41 "," 4,778.97 "
Expenses, -   , -   , -   , -   , 0.48 ," 2,656.81 "," 2,978.28 "," 3,147.96 "," 3,737.14 "," 4,217.63 "," 4,915.88 "," 4,915.88 "," 4,660.93 "
Operating Profit, -   , -   , -   , -   , (0.48), 87.17 , 155.81 , 152.23 , 127.70 , 1.27 , 461.53 , 461.53 , 118.05 
Other Income, -   , -   , -   , -   , 0.15 , 331.72 , 19.99 , 5.21 , 36.94 , 11.34 , 38.61 , -   , -   
Depreciation, -   , -   , -   , -   , -   , 385.19 , 170.09 , 161.42 , 85.67 , 149.33 , 196.64 , 196.64 , 196.64 
Interest, -   , -   , -   , -   , -   , 162.95 , 158.33 , 135.25 , 117.41 , 94.72 , 104.39 , 104.39 , 104.39 
Profit before tax, -   , -   , -   , -   , (0.33), 34.24 , 23.48 , 44.98 , 190.09 , 155.57 , 199.11 , 160.50 , (182.98)
Tax, -   , -   , -   , -   , 0.01 , 10.96 , 4.93 , 15.51 , 34.34 , 45.06 , 53.74 ,27%,27%
Net profit, -   , -   , -   , -   , (0.34), 23.28 , 18.55 , 29.47 , 155.75 , 110.51 , 145.37 , 117.18 , (133.60)
EPS, -   , -   , -   , -   , (0.13), 1.51 , 1.00 , 1.55 , 8.20 , 5.80 , 7.47 , 6.02 , (6.86)
Price to earning,  ,  ,  ,  ,  , 46.09 , 74.89 , 54.25 , 34.37 , 75.34 , 61.15 , 61.15 , 56.28 
Price, -   , -   , -   , -   , -   , 69.47 , 74.60 , 84.32 , 281.75 , 437.26 , 456.80 , 368.22 , (386.35)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,26.55%,40.16%,25.72%,9.76%,20.68%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,3.18%,4.97%,4.61%,3.30%,0.03%,8.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,10.42%,27.46%,27.46%,10.42%
,,,,,,OPM,3.04%,3.04%,3.04%,2.47%,8.58%,8.58%,2.47%
,,,,,,Price to Earning, 57.68 , 57.68 , 57.68 , 56.28 , 61.15 , 61.15 , 56.28 
