DUCON INFRATECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 21.33 , 24.21 , 32.05 , 31.84 , 35.96 , 32.52 , 398.05 , 415.00 , 310.69 , 937.83 , 428.23 
Expenses, -   , -   , 20.03 , 22.42 , 30.08 , 29.80 , 34.12 , 30.33 , 382.97 , 404.58 , 294.57 , 889.17 , 414.21 
Operating Profit, -   , -   , 1.30 , 1.79 , 1.97 , 2.04 , 1.84 , 2.19 , 15.08 , 10.42 , 16.12 , 48.66 , 14.02 
Other Income, -   , -   , 0.03 , 0.06 , 0.10 , 0.02 , 0.08 , 0.11 , 0.97 , 0.95 , 0.22 , -   , -   
Depreciation, -   , -   , 0.83 , 0.83 , 0.88 , 0.93 , 0.79 , 0.85 , 1.49 , 0.81 , 0.62 , 0.62 , 0.62 
Interest, -   , -   , 0.42 , 0.81 , 1.04 , 0.97 , 0.95 , 1.00 , 6.99 , 7.06 , 8.00 , 8.00 , 8.00 
Profit before tax, -   , -   , 0.08 , 0.20 , 0.15 , 0.17 , 0.18 , 0.45 , 7.58 , 3.51 , 7.72 , 40.04 , 5.40 
Tax, -   , -   , 0.03 , 0.05 , 0.05 , 0.07 , 0.09 , 0.07 , 3.01 , 1.18 , 1.81 ,23%,23%
Net profit, -   , -   , 0.06 , 0.14 , 0.10 , 0.09 , 0.10 , 0.39 , 4.57 , 2.33 , 5.91 , 30.65 , 4.14 
EPS, -   , -   , 0.01 , 0.02 , 0.02 , 0.01 , 0.01 , 0.05 , 0.58 , 0.30 , 0.56 , 2.93 , 0.40 
Price to earning,  ,  ,  ,  , 31.49 , 31.24 , 292.99 , 325.64 , 67.73 , 104.80 , 30.64 , 132.20 , 30.64 
Price, -   , -   , -   , -   , 0.53 , 0.36 , 3.74 , 16.19 , 39.47 , 31.14 , 17.30 , 387.12 , 12.11 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,6.09%,7.39%,6.15%,6.41%,5.12%,6.73%,3.79%,2.51%,5.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,52.81%,66.90%,125.98%,4.26%,125.98%,4.26%
,,,,,,OPM,3.70%,3.64%,3.46%,3.27%,5.19%,5.19%,3.27%
,,,,,,Price to Earning, 126.36 , 126.36 , 142.17 , 132.20 , 30.64 , 132.20 , 30.64 
