KALYANI COMMERCIALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 234.31 , 240.14 , 262.50 , 314.83 , 524.33 , 433.53 , 485.87 , 440.48 , 561.48 , 539.05 
Expenses, -   , -   , -   , 231.94 , 236.15 , 258.11 , 310.02 , 518.16 , 426.46 , 477.42 , 429.89 , 547.98 , 531.00 
Operating Profit, -   , -   , -   , 2.37 , 3.99 , 4.39 , 4.81 , 6.17 , 7.07 , 8.45 , 10.59 , 13.50 , 8.05 
Other Income, -   , -   , -   , 0.15 , 0.12 , 0.15 , 0.25 , 0.27 , 0.26 , 0.25 , 0.12 , -   , -   
Depreciation, -   , -   , -   , 0.38 , 0.60 , 0.62 , 0.81 , 0.76 , 0.74 , 0.69 , 0.74 , 0.74 , 0.74 
Interest, -   , -   , -   , 1.48 , 2.88 , 3.15 , 3.55 , 4.77 , 5.80 , 7.18 , 9.12 , 9.12 , 9.12 
Profit before tax, -   , -   , -   , 0.66 , 0.63 , 0.77 , 0.69 , 0.91 , 0.79 , 0.82 , 0.85 , 3.64 , (1.81)
Tax, -   , -   , -   , 0.24 , 0.20 , 0.24 , 0.20 , 0.29 , 0.24 , 0.30 , 0.29 ,34%,34%
Net profit, -   , -   , -   , 0.42 , 0.43 , 0.53 , 0.48 , 0.62 , 0.55 , 0.52 , 0.54 , 2.40 , (1.19)
EPS, -   , -   , -   , 4.20 , 4.30 , 5.30 , 4.80 , 6.20 , 5.50 , 5.20 , -   , -   , -   
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,1.01%,1.66%,1.67%,1.53%,1.18%,1.63%,1.74%,2.40%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,15.14%,15.56%,12.07%,15.56%,12.07%
,,,,,,OPM,1.49%,1.49%,1.53%,1.50%,2.40%,2.40%,1.49%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
